publish_date,title,url,media_name
2013-04-26,NicolÃ¡s Maduro Fast Facts,https://www.cnn.com/2013/04/26/world/americas/nicolas-maduro-fast-facts/index.html,cnn.com
2013-03-08,Those Crazy Mixed up Mining Conventions: a critical look,https://miningawareness.wordpress.com/2013/03/08/those-crazy-mixed-up-mining-conventions-a-critical-look/comment-page-1/#comment-4726,miningawareness.wordpress.com
2013-04-01,Hugo Chávez and the Bolivarian Revolution: Legacy and Challenges,https://venezuelanalysis.com/analysis/8436/#comment-3391,venezuelanalysis.com
2013-08-07,Colombia claims arrest of Venezuelan sergeant,http://feeds.chron.com/~r/houstonchronicle/topheadlines/~3/307176367/5825217.html,chron.com
2013-08-08,Venezuela cheers Chavez call for FARC to make peace,http://feeds.chron.com/~r/houstonchronicle/topheadlines/~3/308385851/5828010.html,chron.com
2013-08-09,"Despite high oil prices, growth in Venezuela is slowing",http://feeds.chron.com/~r/houstonchronicle/business/~3/309378676/5830237.html,chron.com
2013-08-09,"Despite high oil prices, growth in Venezuela is slowing",http://feeds.chron.com/~r/houstonchronicle/energy/~3/309375186/5830237.html,chron.com
2013-08-09,A humbled Hugo,http://feeds.sfgate.com/~r/sfgate/rss/feeds/opinion/~3/310972089/article.cgi,sfgate.com
2013-08-09,A humbled Hugo,http://feeds.sfgate.com/~r/sfgate/rss/feeds/opinion/~3/310876759/article.cgi,sfgate.com
2013-08-05,ConocoPhillips says refining profits are down,http://feeds.chron.com/~r/houstonchronicle/energy/~3/329858396/5876881.html,chron.com
2013-08-05,Around the world,http://feeds.chron.com/~r/houstonchronicle/business/~3/336777798/5890123.html,chron.com
2013-08-05,Venezuela giving free efficient bulbs to Houston's poor,http://feeds.chron.com/~r/houstonchronicle/business/~3/338711990/5894373.html,chron.com
2013-08-05,Venezuela giving free efficient bulbs to Houston's poor,http://feeds.chron.com/~r/houstonchronicle/topheadlines/~3/338708271/5894373.html,chron.com
2013-08-05,Best headline award this week,http://blog.foreignpolicy.com/node/9322,foreignpolicy.com
2013-08-05,Nearly a quarter of BP production at stake in Russia,http://feeds.chron.com/~r/houstonchronicle/energy/~3/344514916/5904956.html,chron.com
2013-08-05,Chavez and Spanish king make up,http://feeds.reuters.com/~r/reuters/USVideoTopNews/~3/345801819/video,reuters.com
2013-08-05,Venezuela's Chavez makes up with king of Spain,http://feeds.reuters.com/~r/reuters/worldNews/~3/346149349/idUSL513402220080726,reuters.com
2013-08-05,Chavez makes up with Spanish king,http://feeds.reuters.com/~r/reuters/USVideoTopNews/~3/346137873/video,reuters.com
2013-08-05,"Fidel Castro still a force, two years out of power",http://feeds.reuters.com/~r/reuters/topNews/~3/350577735/idUSN2848931320080730,reuters.com
2013-08-05,Colombia urges U.S. to get tough on traffickers,http://feeds.reuters.com/~r/reuters/worldNews/~3/353041525/idUSN0151917820080801,reuters.com
2013-08-06,President Bush should call the House into Special Session to deal with the Energy Crisis,http://www.redstate.com/diaries/congressman_mike_conaway/2008/aug/01/president-bush-should-call-house-special-session/,redstate.com
2013-08-05,Venezuela cites security in Chavez summit no show,http://feeds.reuters.com/~r/reuters/worldNews/~3/352885792/idUSN0149985020080801,reuters.com
2013-08-05,Spain's Santander talks to Venezuela on bank sale,http://feeds.reuters.com/~r/reuters/mergersNews/~3/352617855/idUSL149586220080801,reuters.com
2013-08-06,Biz Quicks,http://www.tulsaworld.com/business/article.aspx?articleID=20080801_46_E1_hWallS265331,tulsaworld.com
2013-08-06,Digest: Bank of Venezuela to be nationalized,http://feeds.chron.com/~r/houstonchronicle/business/~3/352296796/5918649.html,chron.com
2013-08-05,Business Briefing,http://seattlepi.nwsource.com/business/373136_bizbriefs01.html?source=rss,nwsource.com
2013-08-05,Chavez adds Spanish bank to nationalization drive,http://feeds.reuters.com/~r/reuters/worldNews/~3/352102757/idUSN3130949320080801,reuters.com
2013-08-06,54% Of Venezuelans Approve Of Hugo Chavez?,http://feeds.feedburner.com/~r/SayAnything/~3/353920065/,feedburner.com
2013-08-06,It Doesn’t Take A Military Genius To See How To Cripple The U.S. – And Quickly,http://feeds.feedburner.com/~r/SayAnything/~3/353589720/,feedburner.com
2013-08-05,Venezuela sees swift accord on Santander unit,http://feeds.reuters.com/~r/reuters/mergersNews/~3/356568883/idUSN0549985420080805,reuters.com
2013-08-05,Venezuela's top court bars election candidates,http://feeds.reuters.com/~r/reuters/worldNews/~3/356985015/idUSN0537764620080806,reuters.com
2013-08-05,Morales seen winning Bolivia recall vote,http://feeds.reuters.com/~r/reuters/worldNews/~3/358470614/idUSN0722840720080807,reuters.com
2013-08-05,Morales rallies disrupted ahead of Bolivia recall,http://feeds.reuters.com/~r/reuters/worldNews/~3/357961047/idUSN0627910720080807,reuters.com
2013-08-05,Morales seen winning Bolivia recall vote,http://feeds.reuters.com/~r/reuters/worldNews/~3/358929104/idUSN0722840720080808,reuters.com
2013-08-05,Bolivia's Morales confronts rivals in recall vote,http://feeds.reuters.com/~r/reuters/worldNews/~3/360845650/idUSN0947469420080810,reuters.com
