country,year,IS_agg,true_zone,pred_zone,correct,t_mod_high,t_high_crit,electoral_override
Hungary,2005,0.4999,MODERATE,MODERATE,1,0.5524,,False
Hungary,2006,0.4999,MODERATE,MODERATE,1,0.5524,,False
Hungary,2007,0.4999,MODERATE,MODERATE,1,0.5524,,False
Hungary,2008,0.4999,MODERATE,MODERATE,1,0.5524,,False
Hungary,2009,0.5084,MODERATE,MODERATE,1,0.5524,,False
Hungary,2010,0.5213,MODERATE,MODERATE,1,0.5524,,False
Hungary,2011,0.6036,HIGH,HIGH,1,0.5524,,True
Hungary,2012,0.5894,HIGH,HIGH,1,0.5524,,False
Hungary,2013,0.6221,HIGH,HIGH,1,0.5524,,False
Hungary,2014,0.6717,HIGH,HIGH,1,0.5524,,True
Hungary,2015,0.6546,HIGH,HIGH,1,0.5524,,False
Hungary,2016,0.6602,HIGH,HIGH,1,0.5524,,False
Hungary,2017,0.6705,HIGH,HIGH,1,0.5524,,False
Hungary,2018,0.6744,HIGH,HIGH,1,0.5524,,False
Hungary,2019,0.678,HIGH,HIGH,1,0.5524,,False
Hungary,2020,0.6838,HIGH,HIGH,1,0.5524,,False
Hungary,2021,0.684,HIGH,HIGH,1,0.5524,,False
Hungary,2022,0.684,HIGH,HIGH,1,0.5524,,False
Hungary,2023,0.684,HIGH,HIGH,1,0.5524,,False
Hungary,2024,0.6843,HIGH,HIGH,1,0.5524,,False
Poland,2005,0.4658,MODERATE,MODERATE,1,0.5524,,False
Poland,2006,0.4658,MODERATE,MODERATE,1,0.5524,,False
Poland,2007,0.4372,MODERATE,MODERATE,1,0.5524,,False
Poland,2008,0.4372,MODERATE,MODERATE,1,0.5524,,False
Poland,2009,0.4372,MODERATE,MODERATE,1,0.5524,,False
Poland,2010,0.4372,MODERATE,MODERATE,1,0.5524,,False
Poland,2011,0.4372,MODERATE,MODERATE,1,0.5524,,False
Poland,2012,0.4233,MODERATE,MODERATE,1,0.5524,,False
Poland,2013,0.4233,MODERATE,MODERATE,1,0.5524,,False
Poland,2014,0.4233,MODERATE,MODERATE,1,0.5524,,False
Poland,2015,0.5141,MODERATE,MODERATE,1,0.5524,,True
Poland,2016,0.4766,MODERATE,MODERATE,1,0.5524,,False
Poland,2017,0.5199,MODERATE,MODERATE,1,0.5524,,False
Poland,2018,0.546,MODERATE,MODERATE,1,0.5524,,False
Poland,2019,0.6166,HIGH,HIGH,1,0.5524,,True
Poland,2020,0.5755,HIGH,HIGH,1,0.5524,,False
Poland,2021,0.5755,HIGH,HIGH,1,0.5524,,False
Poland,2022,0.5755,HIGH,HIGH,1,0.5524,,False
Poland,2023,0.5608,HIGH,HIGH,1,0.5524,,False
Poland,2024,0.546,MODERATE,MODERATE,1,0.5524,,False
Romania,2005,0.5633,HIGH,HIGH,1,0.5524,,False
Romania,2006,0.5633,HIGH,HIGH,1,0.5524,,False
Romania,2007,0.5493,MODERATE,MODERATE,1,0.5524,,False
Romania,2008,0.5493,MODERATE,MODERATE,1,0.5524,,False
Romania,2009,0.5384,MODERATE,MODERATE,1,0.5524,,False
Romania,2010,0.5384,MODERATE,MODERATE,1,0.5524,,False
Romania,2011,0.5554,HIGH,HIGH,1,0.555,,False
Romania,2012,0.5635,HIGH,HIGH,1,0.5524,,False
Romania,2013,0.5364,MODERATE,MODERATE,1,0.5524,,False
Romania,2014,0.5303,MODERATE,MODERATE,1,0.5524,,False
Romania,2015,0.5223,MODERATE,MODERATE,1,0.5524,,False
Romania,2016,0.5223,MODERATE,MODERATE,1,0.5524,,False
Romania,2017,0.5303,MODERATE,MODERATE,1,0.5524,,False
Romania,2018,0.5413,MODERATE,MODERATE,1,0.5524,,False
Romania,2019,0.5474,MODERATE,MODERATE,1,0.5524,,False
Romania,2020,0.5445,MODERATE,MODERATE,1,0.5524,,False
Romania,2021,0.5445,MODERATE,MODERATE,1,0.5524,,False
Romania,2022,0.5445,MODERATE,MODERATE,1,0.5524,,False
Romania,2023,0.5365,MODERATE,MODERATE,1,0.5524,,False
Romania,2024,0.5756,HIGH,HIGH,1,0.5524,,True
