country,year,FH_Judicial,FH_Electoral,BTI_Participation,R_Justice,pct_Justice,zone_Justice,R_Electoral,pct_Electoral,zone_Electoral,R_Coalition,pct_Coalition,zone_Coalition,R_EEF,pct_EEF,zone_EEF,Pi,Phi,dS_dt,trend,electoral_override
Hungary,2005,4.25,4.0,8.5,0.9078,90.78,CRITICAL,0.9327,93.27,CRITICAL,0.8433,84.33,CRITICAL,0.8946,89.46,CRITICAL,,,,N/A (baseline),False
Hungary,2006,4.25,4.0,8.5,0.9078,90.78,CRITICAL,0.9327,93.27,CRITICAL,0.8433,84.33,CRITICAL,0.8946,89.46,CRITICAL,0.0,0.1054,-0.1054,STABLE,False
Hungary,2007,4.25,4.0,8.5,0.9078,90.78,CRITICAL,0.9327,93.27,CRITICAL,0.8433,84.33,CRITICAL,0.8946,89.46,CRITICAL,0.0,0.1054,-0.1054,STABLE,False
Hungary,2008,4.25,4.0,8.5,0.9078,90.78,CRITICAL,0.9327,93.27,CRITICAL,0.8433,84.33,CRITICAL,0.8946,89.46,CRITICAL,0.0,0.1054,-0.1054,STABLE,False
Hungary,2009,4.25,3.75,8.25,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8433,84.33,CRITICAL,0.8844,88.44,CRITICAL,0.0,0.1156,-0.1156,CONSOLIDATING,False
Hungary,2010,4.0,3.75,8.0,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8433,84.33,CRITICAL,0.8844,88.44,CRITICAL,0.0,0.1156,-0.1156,STABLE,False
Hungary,2011,3.5,3.5,7.5,0.8871,88.71,CRITICAL,0.7789,77.89,HIGH,0.8859,88.59,CRITICAL,0.8506,85.06,CRITICAL,0.0,0.1494,-0.1494,CONSOLIDATING,True
Hungary,2012,3.0,3.25,7.0,0.8587,85.87,CRITICAL,0.8759,87.59,CRITICAL,0.8881,88.81,CRITICAL,0.8742,87.42,CRITICAL,0.0236,0.1258,-0.1022,DETERIORATING,False
Hungary,2013,2.75,3.0,6.5,0.7693,76.93,HIGH,0.8759,87.59,CRITICAL,0.8881,88.81,CRITICAL,0.8444,84.44,CRITICAL,0.0,0.1556,-0.1556,CONSOLIDATING,False
Hungary,2014,2.5,2.75,6.0,0.7693,76.93,HIGH,0.7693,76.93,HIGH,0.8639,86.39,CRITICAL,0.8008,80.08,CRITICAL,0.0,0.1992,-0.1992,CONSOLIDATING,True
Hungary,2015,2.25,2.75,5.75,0.6688,66.88,HIGH,0.8334,83.34,CRITICAL,0.8271,82.71,CRITICAL,0.7764,77.64,HIGH,0.0,0.2236,-0.2236,CONSOLIDATING,False
Hungary,2016,2.0,2.75,5.5,0.6688,66.88,HIGH,0.8334,83.34,CRITICAL,0.8271,82.71,CRITICAL,0.7764,77.64,HIGH,0.0,0.2236,-0.2236,STABLE,False
Hungary,2017,2.0,2.5,5.25,0.6688,66.88,HIGH,0.8334,83.34,CRITICAL,0.7979,79.79,HIGH,0.7667,76.67,HIGH,0.0,0.2333,-0.2333,CONSOLIDATING,False
