country,year,IS_agg,FH_instability,VD_instability,event,pred_IS,pred_FH,IS_F1,FH_F1
Romania,2019,0.547,0.4817,0.6,0,1,1,0.333,0
Romania,2020,0.545,0.47,0.59,0,1,0,0.333,0
Romania,2021,0.545,0.47,0.59,0,1,0,0.333,0
Romania,2022,0.545,0.47,0.58,0,1,0,0.333,0
Romania,2023,0.536,0.4583,0.58,0,0,0,0.333,0
Romania,2024,0.576,0.44,0.59,1,1,0,0.333,0
Hungary,2019,0.678,0.7617,0.78,0,1,1,0.286,0.286
Hungary,2020,0.684,0.7733,0.79,0,1,1,0.286,0.286
Hungary,2021,0.684,0.7983,0.8,0,1,1,0.286,0.286
Hungary,2022,0.684,0.81,0.8,1,1,1,0.286,0.286
Hungary,2023,0.684,0.8217,0.81,0,1,1,0.286,0.286
Hungary,2024,0.684,0.8333,0.81,0,1,1,0.286,0.286
Poland,2019,0.617,0.5183,0.53,1,1,1,0.8,0.8
Poland,2020,0.575,0.5483,0.56,1,1,1,0.8,0.8
Poland,2021,0.575,0.56,0.56,1,1,1,0.8,0.8
Poland,2022,0.575,0.56,0.56,0,1,1,0.8,0.8
Poland,2023,0.561,0.5483,0.54,1,1,1,0.8,0.8
Poland,2024,0.546,0.5183,0.51,0,1,1,0.8,0.8
