country,year,IS_alpha_3,zone_alpha_3,IS_alpha_4,zone_alpha_4,IS_alpha_5,zone_alpha_5,IS_alpha_6,zone_alpha_6,IS_alpha_7,zone_alpha_7
Romania,2005,0.5353,MODERATE,0.5493,MODERATE,0.5633,HIGH,0.5774,HIGH,0.5914,HIGH
Romania,2006,0.5353,MODERATE,0.5493,MODERATE,0.5633,HIGH,0.5774,HIGH,0.5914,HIGH
Romania,2007,0.5102,MODERATE,0.5298,MODERATE,0.5493,MODERATE,0.5689,HIGH,0.5885,HIGH
Romania,2008,0.5102,MODERATE,0.5298,MODERATE,0.5493,MODERATE,0.5689,HIGH,0.5885,HIGH
Romania,2009,0.4951,MODERATE,0.5167,MODERATE,0.5384,MODERATE,0.56,HIGH,0.5817,HIGH
Romania,2010,0.4951,MODERATE,0.5167,MODERATE,0.5384,MODERATE,0.56,HIGH,0.5817,HIGH
Romania,2011,0.517,MODERATE,0.5362,MODERATE,0.5554,HIGH,0.5746,HIGH,0.5938,HIGH
Romania,2012,0.5259,MODERATE,0.5447,MODERATE,0.5635,HIGH,0.5823,HIGH,0.6011,HIGH
Romania,2013,0.4886,MODERATE,0.5125,MODERATE,0.5364,MODERATE,0.5602,HIGH,0.5841,HIGH
Romania,2014,0.4818,MODERATE,0.5061,MODERATE,0.5303,MODERATE,0.5545,HIGH,0.5788,HIGH
Romania,2015,0.4681,MODERATE,0.4952,MODERATE,0.5223,MODERATE,0.5494,MODERATE,0.5765,HIGH
Romania,2016,0.4681,MODERATE,0.4952,MODERATE,0.5223,MODERATE,0.5494,MODERATE,0.5765,HIGH
Romania,2017,0.4818,MODERATE,0.5061,MODERATE,0.5303,MODERATE,0.5545,HIGH,0.5788,HIGH
Romania,2018,0.497,MODERATE,0.5191,MODERATE,0.5413,MODERATE,0.5634,HIGH,0.5856,HIGH
Romania,2019,0.5038,MODERATE,0.5256,MODERATE,0.5474,MODERATE,0.5691,HIGH,0.5909,HIGH
Romania,2020,0.4975,MODERATE,0.521,MODERATE,0.5445,MODERATE,0.568,HIGH,0.5914,HIGH
Romania,2021,0.4975,MODERATE,0.521,MODERATE,0.5445,MODERATE,0.568,HIGH,0.5914,HIGH
Romania,2022,0.4975,MODERATE,0.521,MODERATE,0.5445,MODERATE,0.568,HIGH,0.5914,HIGH
Romania,2023,0.4838,MODERATE,0.5102,MODERATE,0.5365,MODERATE,0.5628,HIGH,0.5892,HIGH
Romania,2024,0.5163,MODERATE,0.5459,MODERATE,0.5756,HIGH,0.6052,HIGH,0.6349,HIGH
Hungary,2005,0.437,MODERATE,0.4685,MODERATE,0.4999,MODERATE,0.5313,MODERATE,0.5627,HIGH
Hungary,2006,0.437,MODERATE,0.4685,MODERATE,0.4999,MODERATE,0.5313,MODERATE,0.5627,HIGH
Hungary,2007,0.437,MODERATE,0.4685,MODERATE,0.4999,MODERATE,0.5313,MODERATE,0.5627,HIGH
Hungary,2008,0.437,MODERATE,0.4685,MODERATE,0.4999,MODERATE,0.5313,MODERATE,0.5627,HIGH
Hungary,2009,0.4527,MODERATE,0.4806,MODERATE,0.5084,MODERATE,0.5362,MODERATE,0.564,HIGH
Hungary,2010,0.4715,MODERATE,0.4964,MODERATE,0.5213,MODERATE,0.5462,MODERATE,0.5711,HIGH
Hungary,2011,0.5697,HIGH,0.5866,HIGH,0.6036,HIGH,0.6205,HIGH,0.6375,HIGH
Hungary,2012,0.573,HIGH,0.5812,HIGH,0.5894,HIGH,0.5977,HIGH,0.6059,HIGH
Hungary,2013,0.6149,HIGH,0.6185,HIGH,0.6221,HIGH,0.6257,HIGH,0.6292,HIGH
Hungary,2014,0.6677,HIGH,0.6697,HIGH,0.6717,HIGH,0.6737,HIGH,0.6757,HIGH
Hungary,2015,0.6648,HIGH,0.6597,HIGH,0.6546,HIGH,0.6495,HIGH,0.6445,HIGH
Hungary,2016,0.6774,HIGH,0.6688,HIGH,0.6602,HIGH,0.6517,HIGH,0.6431,HIGH
Hungary,2017,0.6937,HIGH,0.6821,HIGH,0.6705,HIGH,0.6589,HIGH,0.6473,HIGH
Hungary,2018,0.7014,CRITICAL,0.6879,HIGH,0.6744,HIGH,0.6608,HIGH,0.6473,HIGH
