country,year,IS_agg,VDem_LDI,pearson_r,spearman_rho,p,strength
Romania,2005,0.563,0.42,-0.1796,-0.2526,0.4461,Negligible
Romania,2006,0.563,0.43,-0.1796,-0.2526,0.4461,Negligible
Romania,2007,0.549,0.44,-0.1796,-0.2526,0.4461,Negligible
Romania,2008,0.549,0.44,-0.1796,-0.2526,0.4461,Negligible
Romania,2009,0.538,0.44,-0.1796,-0.2526,0.4461,Negligible
Romania,2010,0.538,0.43,-0.1796,-0.2526,0.4461,Negligible
Romania,2011,0.555,0.43,-0.1796,-0.2526,0.4461,Negligible
Romania,2012,0.564,0.41,-0.1796,-0.2526,0.4461,Negligible
Romania,2013,0.536,0.42,-0.1796,-0.2526,0.4461,Negligible
Romania,2014,0.53,0.43,-0.1796,-0.2526,0.4461,Negligible
Romania,2015,0.522,0.44,-0.1796,-0.2526,0.4461,Negligible
Romania,2016,0.522,0.43,-0.1796,-0.2526,0.4461,Negligible
Romania,2017,0.53,0.4,-0.1796,-0.2526,0.4461,Negligible
Romania,2018,0.541,0.39,-0.1796,-0.2526,0.4461,Negligible
Romania,2019,0.547,0.4,-0.1796,-0.2526,0.4461,Negligible
Romania,2020,0.545,0.41,-0.1796,-0.2526,0.4461,Negligible
Romania,2021,0.545,0.41,-0.1796,-0.2526,0.4461,Negligible
Romania,2022,0.545,0.42,-0.1796,-0.2526,0.4461,Negligible
Romania,2023,0.536,0.42,-0.1796,-0.2526,0.4461,Negligible
Romania,2024,0.576,0.41,-0.1796,-0.2526,0.4461,Negligible
Hungary,2005,0.5,0.57,-0.9797,-0.9835,0.0001,Very strong
Hungary,2006,0.5,0.57,-0.9797,-0.9835,0.0001,Very strong
Hungary,2007,0.5,0.56,-0.9797,-0.9835,0.0001,Very strong
Hungary,2008,0.5,0.56,-0.9797,-0.9835,0.0001,Very strong
Hungary,2009,0.508,0.55,-0.9797,-0.9835,0.0001,Very strong
Hungary,2010,0.521,0.52,-0.9797,-0.9835,0.0001,Very strong
Hungary,2011,0.604,0.46,-0.9797,-0.9835,0.0001,Very strong
Hungary,2012,0.589,0.4,-0.9797,-0.9835,0.0001,Very strong
Hungary,2013,0.622,0.36,-0.9797,-0.9835,0.0001,Very strong
Hungary,2014,0.672,0.32,-0.9797,-0.9835,0.0001,Very strong
Hungary,2015,0.655,0.29,-0.9797,-0.9835,0.0001,Very strong
Hungary,2016,0.66,0.27,-0.9797,-0.9835,0.0001,Very strong
Hungary,2017,0.67,0.25,-0.9797,-0.9835,0.0001,Very strong
Hungary,2018,0.674,0.24,-0.9797,-0.9835,0.0001,Very strong
Hungary,2019,0.678,0.22,-0.9797,-0.9835,0.0001,Very strong
Hungary,2020,0.684,0.21,-0.9797,-0.9835,0.0001,Very strong
Hungary,2021,0.684,0.2,-0.9797,-0.9835,0.0001,Very strong
Hungary,2022,0.684,0.2,-0.9797,-0.9835,0.0001,Very strong
Hungary,2023,0.684,0.19,-0.9797,-0.9835,0.0001,Very strong
Hungary,2024,0.684,0.19,-0.9797,-0.9835,0.0001,Very strong
Poland,2005,0.466,0.64,-0.9408,-0.8872,0.0001,Very strong
Poland,2006,0.466,0.65,-0.9408,-0.8872,0.0001,Very strong
Poland,2007,0.437,0.67,-0.9408,-0.8872,0.0001,Very strong
Poland,2008,0.437,0.67,-0.9408,-0.8872,0.0001,Very strong
Poland,2009,0.437,0.67,-0.9408,-0.8872,0.0001,Very strong
Poland,2010,0.437,0.67,-0.9408,-0.8872,0.0001,Very strong
Poland,2011,0.437,0.67,-0.9408,-0.8872,0.0001,Very strong
Poland,2012,0.423,0.68,-0.9408,-0.8872,0.0001,Very strong
Poland,2013,0.423,0.68,-0.9408,-0.8872,0.0001,Very strong
Poland,2014,0.423,0.68,-0.9408,-0.8872,0.0001,Very strong
Poland,2015,0.514,0.67,-0.9408,-0.8872,0.0001,Very strong
Poland,2016,0.477,0.6,-0.9408,-0.8872,0.0001,Very strong
Poland,2017,0.52,0.54,-0.9408,-0.8872,0.0001,Very strong
Poland,2018,0.546,0.5,-0.9408,-0.8872,0.0001,Very strong
Poland,2019,0.617,0.47,-0.9408,-0.8872,0.0001,Very strong
Poland,2020,0.575,0.44,-0.9408,-0.8872,0.0001,Very strong
Poland,2021,0.575,0.44,-0.9408,-0.8872,0.0001,Very strong
Poland,2022,0.575,0.44,-0.9408,-0.8872,0.0001,Very strong
Poland,2023,0.561,0.46,-0.9408,-0.8872,0.0001,Very strong
Poland,2024,0.546,0.49,-0.9408,-0.8872,0.0001,Very strong
