title,publish_date,url,language
"After 16 years in power, Putin's closest friend in Europe faces a pivotal election",2026-04-11,https://www.nbcnews.com/world/hungary/16-years-power-putins-closest-friend-europe-faces-pivotal-election-rcna273664,en
"Hungarians vote in landmark election closely watched by EU, Russia, US",2026-04-11,https://www.reuters.com/world/europe/hungarians-vote-landmark-election-closely-watched-by-eu-russia-us-2026-04-11/,en
Longtime Prime Minister Viktor Orbán faces major challenges in Hungary's elections,2026-04-11,https://www.npr.org/2026/04/11/nx-s1-5773249/longtime-prime-minister-viktor-orban-faces-major-challenges-in-hungarys-elections,en
Affordability Could Sink A Major Trump Ally In Europe,2026-04-11,https://www.huffpost.com/entry/trump-orban-campaign_n_69d8182fe4b0ccb589ebd505,en
Orbán's Hungary drove a top university campus into exile. JD Vance said it should be a model for the U.S.,2026-04-11,https://www.nbcnews.com/world/europe/orban-hungary-university-exile-jd-vance-model-us-rcna267253,en
Czech Prime Minister Babis backs Hungary's Orban ahead of vote,2026-04-11,https://www.reuters.com/world/czech-prime-minister-babis-backs-hungarys-orban-ahead-vote-2026-04-11/,en
Trump-Ally Orban Trails in Polls Ahead of Hungary’s Election,2026-04-10,https://www.nytimes.com/video/world/europe/100000010833976/orban-magyar-hungary-election.html,en
The EU Picks Up USAID's Slack In Funding Foreign Election NGOs Across Europe,2026-04-10,https://dailycaller.com/2026/04/10/european-union-serbia-hungary-usaids-foreign-election-interference-europe/,en
Hungarian election could end Orbán's grip on power and alter Europe's political landscape,2026-04-10,https://www.pbs.org/newshour/show/hungarian-election-could-end-orbans-grip-on-power-and-alter-europes-political-landscape,en
"Morning Mail: Israel calls for Lebanon talks, road traffic falls amid fuel crisis, how to solve a poo ball problem",2026-04-09,https://www.theguardian.com/australia-news/2026/apr/10/morning-mail-friday-ntwnfb,en
Polls in Hungary and Peru next in key election year for world markets,2026-04-10,https://www.reuters.com/world/global-markets-election-corrected-graphic-2026-04-10/,en
"Exclusive: Coordinated Telegram posts push pro-Orban narratives on eve of Hungary vote, research shows",2026-04-10,https://www.reuters.com/business/media-telecom/coordinated-telegram-posts-push-pro-orban-narratives-eve-hungary-vote-research-2026-04-10/,en
Key facts about Sunday's election in Hungary and possible outcomes,2026-04-10,https://www.reuters.com/world/key-facts-about-sundays-election-hungary-possible-outcomes-2026-04-10/,en
Viktor Orban's chances of winning Hungary election hit new low,2026-04-10,https://www.newsweek.com/viktor-orban-chances-winning-hungary-election-hit-new-low-11810597,en
Ohio continues to delay court-ordered nursing home payments: Capitol Letter,2026-04-10,https://www.cleveland.com/open/2026/04/ohio-continues-to-delay-court-ordered-nursing-home-payments-capitol-letter.html,en
Orban's rural base still backs the Hungarian leader ahead of Sunday’s pivotal vote,2026-04-09,https://www.latimes.com/world-nation/story/2026-04-09/orbans-rural-base-still-backs-hungarian-leader-ahead-of-vote,en
Orban’s Re-Election Odds Decline After JD Vance Endorsement Speech — Report,2026-04-09,https://www.inquisitr.com/orbans-re-election-odds-decline-after-jd-vance-endorsement-speech-report/,en
"Why Hungary’s election matters for Orbán, EU unity and Ukraine",2026-04-09,https://www.reuters.com/markets/econ-world/small-country-big-election-2026-04-09/,en
Orban's chances of winning Hungary election drop after JD Vance rally,2026-04-09,https://www.newsweek.com/viktor-orban-hungary-election-jd-vance-rally-11804123,en
Hungary's election could end Orban era and reshape its place in Europe,2026-04-09,https://www.reuters.com/world/europe/hungarys-election-could-end-orban-era-reshape-its-place-europe-2026-04-09/,en
Investors position for a post-Orban Hungary,2026-04-09,https://www.reuters.com/world/investors-position-post-orban-hungary-2026-04-09/,en
"Morning Mail: Trump’s countdown to destruction, Greens champion ‘progressive populism’, Kanye West banned from UK",2026-04-07,https://www.theguardian.com/australia-news/2026/apr/08/morning-mail-wednesday-ntwnfb,en
Vance tries to boost ailing MAGA ally ahead of Hungary election,2026-04-08,https://www.nbcnews.com/world/hungary/vance-orban-hungary-maga-election-rcna267086,en
"Hungary's Tisza party seen winning two-thirds majority in parliament, Median projection shows",2026-04-08,https://www.reuters.com/world/hungarys-tisza-party-seen-winning-two-thirds-majority-parliament-median-2026-04-08/,en
Trump praises Hungary PM Viktor Orbán after Vance calls him at Budapest rally,2026-04-07,https://www.cnbc.com/2026/04/07/trump-vance-orban-hungary-iran-war.html,en
JD Vance heads to Hungary to support Viktor Orbán ahead of high-stakes election,2026-04-07,https://www.cnbc.com/2026/04/07/jd-vance-visits-hungary-viktor-orban-trump-russia-eu.html,en
"In Hungary’s elections, the war in Ukraine looms large",2026-04-06,https://www.csmonitor.com/World/Europe/2026/0406/hungary-election-viktor-orban-peter-magyar-ukraine-war?icid=rss,en
Vice President Vance visits Hungary to boost Orban ahead of pivotal election,2026-04-07,https://www.reuters.com/world/europe/vice-president-vance-visits-hungary-boost-orban-ahead-pivotal-election-2026-04-07/,en
"A hidden Russian hand in Hungary's election? Actually, it's quite open.",2026-04-06,https://www.bostonglobe.com/2026/04/06/world/hidden-russian-hand-hungarys-election-actually-its-quite-open/,en
Hungary puts gas pipeline under military protection amid false-flag accusations,2026-04-06,https://www.theguardian.com/world/2026/apr/06/hungary-puts-gas-pipeline-under-military-protection-amid-false-flag-accusations,en
"Younger Hungarian voters spurn Orban, some say they will leave if he is re-elected",2026-04-06,https://www.reuters.com/world/younger-hungarian-voters-spurn-orban-some-say-they-will-leave-if-he-is-re-2026-04-06/,en
Alleged explosives find near gas pipeline raises heat days before Hungary’s pivotal election,2026-04-05,https://www.cnn.com/2026/04/05/europe/serbia-pipeline-hungary-russia-intl,en
"Explosives found in Serbia near gas pipeline supplying Hungary, leaders say",2026-04-05,https://www.reuters.com/world/hungarys-pm-orban-says-explosives-found-near-gas-infrastructure-serbia-2026-04-05/,en
Vance Sets April 7-8 Hungary Visit With Orban,2026-04-02,https://www.newsmax.com/newsfront/jd-vance-viktor-orban-hungary/2026/04/02/id/1251684/,en
"At Village Pub in Orban's Heartland, Hungary's Vote Plays Out Over Pints",2026-04-02,https://www.usnews.com/news/world/articles/2026-04-02/at-village-pub-in-orbans-heartland-hungarys-vote-plays-out-over-pints,en
"At village pub in Orban's heartland, Hungary's vote plays out over pints",2026-04-02,https://www.reuters.com/world/village-pub-orbans-heartland-hungarys-vote-plays-out-over-pints-2026-04-02/,en
Hungary Election Polls Show Opposition Tisza Widening Lead Over Orban's Fidesz,2026-04-01,https://www.usnews.com/news/world/articles/2026-04-01/hungary-election-polls-show-opposition-tisza-widening-lead-over-orbans-fidesz,en
Hungary election polls show opposition Tisza widening lead over Orban's Fidesz,2026-04-01,https://www.reuters.com/world/hungary-election-polls-show-opposition-tisza-widening-lead-over-orbans-fidesz-2026-04-01/,en
"‘Dangerous’ Mamdani won’t ‘protect Jews from the mob,’ 103-year-old holocaust survivor warns",2026-03-31,https://nypost.com/2026/03/31/us-news/dangerous-mamdani-wont-protect-jews-from-the-mob-103-year-old-holocaust-survivor-warns/,en
Hungary Foreign Minister Discussed EU Sanctions With Russia in Leaked Audio,2026-03-31,https://www.usnews.com/news/world/articles/2026-03-31/hungary-foreign-minister-discussed-eu-sanctions-with-russia-in-leaked-audio,en
Hungary foreign minister discussed EU sanctions with Russia in leaked audio,2026-03-31,https://www.reuters.com/business/media-telecom/hungary-foreign-minister-discussed-eu-sanctions-with-russia-leaked-audio-2026-03-31/,en
U.S. Conservatives Watch Nervously as Orban Faces Tough Test in Hungary Vote,2026-03-31,https://www.usnews.com/news/world/articles/2026-03-31/u-s-conservatives-watch-nervously-as-orban-faces-tough-test-in-hungary-vote,en
US conservatives watch nervously as Orban faces tough test in Hungary vote,2026-03-31,https://www.reuters.com/world/europe/us-conservatives-watch-nervously-orban-faces-tough-test-hungary-vote-2026-03-31/,en
The First Post-Reality Political Campaign,2026-03-27,https://www.theatlantic.com/ideas/2026/03/hungary-first-post-reality-political-campaign/686565/?utm_source=feed,en
EU Hopes Hungarian Election Will Bring End to Orban's Blockades,2026-03-27,https://www.usnews.com/news/world/articles/2026-03-27/eu-hopes-hungarian-election-will-bring-end-to-orbans-blockades,en
EU hopes Hungarian election will bring end to Orban's blockades,2026-03-27,https://www.reuters.com/world/eu-hopes-hungarian-election-will-bring-end-orbans-blockades-2026-03-27/,en
Hungary Government Accuses Journalist of Spying for Ukraine,2026-03-26,https://www.usnews.com/news/world/articles/2026-03-26/hungary-government-accuses-journalist-of-spying-for-ukraine,en
Hungary government accuses journalist of spying for Ukraine,2026-03-26,https://www.reuters.com/business/media-telecom/hungary-government-accuses-journalist-spying-ukraine-2026-03-26/,en
White House tries to blame Democrats for airport delays as TSA workers miss out on $1bn in pay – US politics live,2026-03-25,https://www.theguardian.com/us-news/live/2026/mar/25/donald-trump-classified-documents-us-politics-live-latest,en
"Once Inspired by Orban, Hungary's Peter Magyar Now Leads the Charge to Unseat Him",2026-03-25,https://www.usnews.com/news/world/articles/2026-03-25/once-inspired-by-orban-hungarys-peter-magyar-now-leads-the-charge-to-unseat-him,en
Hungary's Orban Faces Pivotal Battle Against Ally-Turned-Foe,2026-03-25,https://www.usnews.com/news/world/articles/2026-03-25/hungarys-orban-faces-pivotal-battle-against-ally-turned-foe,en
Factbox-What's at Stake in Hungary's Parliamentary Election?,2026-03-25,https://www.usnews.com/news/world/articles/2026-03-25/factbox-whats-at-stake-in-hungarys-parliamentary-election,en
"Hungary's Opposition Tisza Party Widens Lead Over Orban's Fidesz, Poll Says",2026-03-25,https://www.usnews.com/news/world/articles/2026-03-25/hungarys-opposition-tisza-party-widens-lead-over-orbans-fidesz-poll-says,en
"Hungary's opposition Tisza party widens lead over Orban's Fidesz, poll says",2026-03-25,https://www.reuters.com/business/media-telecom/hungarys-opposition-tisza-party-widens-lead-over-orbans-fidesz-poll-says-2026-03-25/,en
Hungary's Orban faces pivotal battle against ally-turned-foe,2026-03-25,https://www.reuters.com/world/hungarys-orban-faces-pivotal-battle-against-ally-turned-foe-2026-03-25/,en
"Once inspired by Orban, Hungary's Peter Magyar now leads the charge to unseat him",2026-03-25,https://www.reuters.com/world/once-inspired-by-orban-hungarys-peter-magyar-now-leads-charge-unseat-him-2026-03-25/,en
What's at stake in Hungary's parliamentary election?,2026-03-25,https://www.reuters.com/world/europe/whats-stake-hungarys-parliamentary-election-2026-03-25/,en
Denmark Social Democrats slip in election amid Trump Greenland tensions,2026-03-24,https://www.newsweek.com/denmark-election-results-donald-trump-greenland-11730051,en
Hungarian election candidate accuses ruling party of treason over alleged EU leak to Russia,2026-03-23,https://www.theguardian.com/world/2026/mar/23/hungarian-election-candidate-peter-magyar-viktor-orban-alleged-leak-eu-russia,en
Hungary's Orban orders probe into alleged wiretapping of minister over Russia links,2026-03-23,https://www.reuters.com/world/hungarys-orban-orders-probe-into-alleged-wiretapping-minister-over-russia-links-2026-03-23/,en
Hungary's Orban Orders Probe Into Alleged Wiretapping of Minister Over Russia Links,2026-03-23,https://www.usnews.com/news/world/articles/2026-03-23/hungarys-orban-orders-probe-into-alleged-wiretapping-of-minister-over-russia-links,en
"To tilt Hungarian election, Russians proposed staging assassination attempt",2026-03-21,https://www.inquirer.com/news/nation-world/hungary-orban-reelection-russia-stage-assassination-putin-trump-20260321.html,en
Voters rocked by war and tariffs could add to market angst in upcoming elections,2026-03-19,https://www.reuters.com/world/americas/global-markets-elections-graphic-pix-2026-03-19/,en
Voters Rocked by War and Tariffs Could Add to Market Angst in Upcoming Elections,2026-03-19,https://www.usnews.com/news/world/articles/2026-03-19/voters-rocked-by-war-and-tariffs-could-add-to-market-angst-in-upcoming-elections,en
"Exclusive-Vance Plans Hungary Visit in Show of Support for Orban Ahead of Tight Election, Sources Say",2026-03-18,https://www.usnews.com/news/world/articles/2026-03-18/exclusive-vance-plans-hungary-visit-in-show-of-support-for-orban-ahead-of-tight-election-sources-say,en
"Exclusive: Vance plans Hungary visit in show of support for Orban ahead of tight election, sources say",2026-03-18,https://www.reuters.com/world/europe/vance-plans-hungary-visit-show-support-orban-ahead-tight-election-sources-say-2026-03-18/,en
Hungary's PM Orban mobilises online backers for election challenge,2026-03-16,https://www.reuters.com/world/hungarys-pm-orban-mobilises-online-backers-election-challenge-2026-03-16/,en
Hungary's PM Orban Mobilises Online Backers for Election Challenge,2026-03-16,https://www.usnews.com/news/world/articles/2026-03-16/hungarys-pm-orban-mobilises-online-backers-for-election-challenge,en
Hungary's Feuding Parties Gather for Key Show of Force Ahead of Election,2026-03-15,https://www.usnews.com/news/world/articles/2026-03-15/hungarys-feuding-parties-gather-for-key-show-of-force-ahead-of-election,en
Hungary's feuding parties gather for key show of force ahead of election,2026-03-15,https://www.reuters.com/world/hungarys-feuding-parties-gather-key-show-force-ahead-election-2026-03-15/,en
Orban’s election campaign turns to Russia for help in final stretch,2026-03-14,https://www.mercurynews.com/2026/03/14/orbans-election-campaign-turns-to-russia-for-help-in-final-stretch-2/,en
17 SXSW movies you need to know about right now,2026-03-12,https://mashable.com/article/sxsw-2026-film-preview,en
"Hungary's opposition Tisza party maintains lead as election nears, poll shows",2026-03-11,https://www.reuters.com/world/hungarys-opposition-tisza-party-maintains-lead-election-nears-poll-shows-2026-03-11/,en
Is There Even a Plan?,2026-03-06,https://www.nhgazette.com/2026/03/06/is-there-even-a-plan/,en
Hungary PM Orban's battery bet turns into election headache,2026-03-05,https://www.reuters.com/business/hungary-pm-orbans-battery-bet-turns-into-election-headache-2026-03-05/,en
