publish_date,title,url,media_name
2014-01-04,"History will be kinder to me than the media, says Manmohan",https://www.thehindu.com/opinion/interview/history-will-be-kinder-to-me-than-the-media-says-manmohan/article61451665.ece,thehindu.com
2013-09-18,Asaram Bapu’s Alleged Assault Exposes India’s Superstition Industry,https://frontline.thehindu.com/cover-story/in-the-name-of-faith/article64764307.ece,thehindu.com
2013-11-12,"CM Blogs on Tanariri Festival, writes about the importance of promoting art, music and culture",https://www.narendramodi.in/cm-blogs-on-tanariri-festival-writes-about-the-importants-of-promoting-art-music-and-culture-3113,narendramodi.in
2014-04-24,"Varanasi: A glorious past, an even glorious future for the ancient city that is India’s pride",https://www.narendramodi.in/varanasi-a-glorious-past-an-even-glorious-future-for-the-ancient-city-that-is-indias-pride-3120,narendramodi.in
2014-01-25,"On National Voters' Day, Narendra Modi calls for proactive voter registration for strengthening of our democracy!",https://www.narendramodi.in/on-national-voters-day-narendra-modi-calls-for-proactive-voter-registration-for-strengthening-of-our-democracy-3117,narendramodi.in
2013-06-26,Shri Modi blogs on the 38th anniversary of the Emergency,https://www.narendramodi.in/shri-modi-blogs-on-the-38th-anniversary-of-the-emergency-3103,narendramodi.in
2013-09-27,CM blogs on Supreme Court asking EC to put Right to Reject in coming elections,https://www.narendramodi.in/cm-blogs-on-supreme-court-asking-ec-to-put-right-to-reject-in-coming-elections-3109,narendramodi.in
2013-12-27,Satyameva Jayate: Truth Alone Triumphs,https://www.narendramodi.in/satyameva-jayate-truth-alone-triumphs-3116,narendramodi.in
2013-09-17,Saluting Nation Builders on Vishwakarma Jayanti,https://www.narendramodi.in/saluting-nation-builders-on-vishwakarma-jayanti-3108,narendramodi.in
2014-04-02,Varanasi shall set in motion the wheels of change that will take India on the path of good governance.,https://www.narendramodi.in/varanasi-shall-set-in-motion-the-wheels-of-change-that-will-take-india-on-the-path-of-good-governance-3119,narendramodi.in
2013-12-06,"A life of unmatched determination, an unbreakable commitment towards social justice: Remembering Dr. Ambedkar on his Punya Tithi",https://www.narendramodi.in/a-life-of-unmatched-determination-an-unbreakable-commitment-towards-social-justice-remembering-dr-ambedkar-on-his-punya-tithi-3115,narendramodi.in
2013-08-14,CM blogs on Independence Day 2013,https://www.narendramodi.in/cm-blogs-on-independence-day-2013-towards-a-better-tomorrow-3106,narendramodi.in
2014-05-10,"Extensive, Innovative and Satisfying: The Story of 2014 Campaign",https://www.narendramodi.in/extensive-innovating-and-satisfying-the-story-of-2014-campaign-2-3121,narendramodi.in
2014-01-26,CM blogs on 65th Republic Day: Looking towards the future and strengthening our Republic with the motto of India First,https://www.narendramodi.in/cm-blogs-on-65th-republic-day-looking-towards-the-future-and-strengthening-our-republic-with-the-motto-of-india-first-3118,narendramodi.in
2014-05-12,"A victory for the people, a victory for India and the triumph of the ballot",https://www.narendramodi.in/a-victory-for-the-people-a-victory-for-india-and-the-triumph-of-the-ballot-3122,narendramodi.in
2013-07-30,Congress Party has neither been consistent nor transparent in its conduct over the creation of a Telangana state: Shri Modi blogs on creation of Telangana state,https://www.narendramodi.in/shri-modi-blogs-on-the-creation-of-telangana-3105,narendramodi.in
2013-11-04,CM blogs on Congress suggestion to ban opinion polls,https://www.narendramodi.in/cm-blogs-on-congress-suggestion-to-ban-opinion-polls-3111,narendramodi.in
2013-12-04,Elections: True festivals of democracy!,https://www.narendramodi.in/elections-true-festivals-of-democracy-3114,narendramodi.in
2013-08-29,"Character, Community and Country: CM Blogs on National Sports Day",https://www.narendramodi.in/cm-blogs-on-national-sports-day-3107,narendramodi.in
2013-05-11,"Jai Jawan, Jai Kisan, Jai Vigyan: CM Blogs on National Technology Day",https://www.narendramodi.in/jai-jawan-jai-kisan-jai-vigyan-cm-blogs-on-national-technology-day-3101,narendramodi.in
2013-08-05,Official: 29 killed in series of blasts across west India,http://feeds.chron.com/~r/houstonchronicle/topheadlines/~3/346780746/5909122.html,chron.com
2013-08-05,"Sixteen bombs hit India's Ahmedabad, 29 killed",http://feeds.reuters.com/~r/reuters/worldNews/~3/346410950/idUSSP23014220080726,reuters.com
2013-08-06,Islamic group says it's behind India blasts that killed 45,http://feeds.chron.com/~r/houstonchronicle/topheadlines/~3/347508550/5909496.html,chron.com
2013-08-05,India on alert after two days of bombings kill 46,http://feeds.reuters.com/~r/reuters/worldNews/~3/347256016/idUSSP23014220080727,reuters.com
2013-08-05,India PM visits bomb victims,http://feeds.reuters.com/~r/reuters/worldNews/~3/348023370/idUSSP23014220080728,reuters.com
2013-08-13,"Times of India Tech: Latest IT, telecom, Internet, BPO news and updates",http://feedproxy.google.com/~r/rawstory/gKpz/~3/Eg_v9IRNppY/3716152.cms,google.com
2013-09-02,Pakistan dominates India election campaign,http://feeds.reuters.com/~r/reuters/worldNews/~3/WJhnwlO88_w/idUSTRE5182D720090209,reuters.com
2013-10-25,"In India's gloomy economy, diamond jobs are not forever",http://feeds.reuters.com/~r/reuters/lifestyle/~3/Uy5lADczo_E/idUSTRE52800920090309,reuters.com
2013-10-25,Leaders cower from shoe-cide attacks,http://feeds.reuters.com/~r/reuters/oddlyEnoughNews/~3/1Yqfvhqm_2k/idUSTRE53G49620090417,reuters.com
