publish_date,title,url,media_name
2024-10-02,Választások között a Kárpát-medencében – nemzetpolitikai kerekasztal a magyar napokon,https://szabadsag.ro/article/valasztasok-kozott-karpat-medenceben-nemzetpolitikai-kerekasztal-magyar-napokon,szabadsag.ro
2024-11-21,"„Arra senki ne számítson, hogy majd jön a felmentő sereg”",https://szabadsag.ro/article/arra-senki-ne-szamitson-hogy-majd-jon-felmento-sereg,szabadsag.ro
2024-12-13,Romanian far right may clinch the presidency,https://dailybrief.oxan.com/Analysis/DB294669,oxan.com
2024-12-05,Bejelentette lemondását Marcel Ciolacu román miniszterelnök,https://ujszo.com/kulfold/bejelentette-lemondasat-marcel-ciolacu-roman-miniszterelnok,ujszo.com
2024-12-06,Laitaoikeiston ehdokas johtaa ovensuukyselyjä presidentinvaaleissa,https://www.hs.fi/maailma/art-2000011210184.html,hs.fi
2024-11-14,"AtlasIntel: Simion vezet, továbbra is szoros a verseny a második helyért",https://szabadsag.ro/article/atlasintel-simion-vezet-tovabbra-szoros-verseny-masodik-helyert,szabadsag.ro
2024-11-27,Tizenegy elnökjelölt közül választunk a vasárnapi első fordulóban,https://szabadsag.ro/article/tizenegy-elnokjelolt-kozul-valasztunk-vasarnapi-elso-forduloban,szabadsag.ro
2024-12-17,Az EMSZ szerint kutyából nem lesz szalonna…,https://szabadsag.ro/article/elnokvalasztas-az-emsz-szerint-kutyabol-nem-lesz-szalonna,szabadsag.ro
2024-11-08,"Felmérés: George Simion 29, Crin Antonescu 26, Nicușor Dan 23 százalékon áll",https://szabadsag.ro/article/felmeres-george-simion-29-crin-antonescu-26-nicusor-dan-23-szazalekon-all,szabadsag.ro
2024-12-08,"IRSOP-felmérés: Simion vezet, második Nicușor Dan",https://szabadsag.ro/article/elnokvalasztas-irsop-felmeres-simion-vezet-masodik-nicusor-dan,szabadsag.ro
2024-10-16,Magát menti az USR?,https://szabadsag.ro/article/magat-menti-az-usr,szabadsag.ro
