date,count,total_count,ratio
2014-01-01,0,51215,0
2014-01-02,0,67737,0
2014-01-03,1,42994,2.325905940363772e-05
2014-01-04,7,59631,0.00011738860659723969
2014-01-05,1,99763,1.0023756302436775e-05
2014-01-06,4,106552,3.7540355882573766e-05
2014-01-07,7,116219,6.023111539421265e-05
2014-01-08,15,133427,0.00011242102423047808
2014-01-09,8,114917,6.961546159402004e-05
2014-01-10,8,119572,6.690529555414311e-05
2014-01-11,6,74939,8.006511963063291e-05
2014-01-12,5,73648,6.789050619161417e-05
2014-01-13,16,125139,0.00012785782210182278
2014-01-14,14,128675,0.0001088012434427822
2014-01-15,10,126234,7.92179602959583e-05
2014-01-16,5,136700,3.65764447695684e-05
2014-01-17,2,110310,1.8130722509291996e-05
2014-01-18,2,56848,3.5181536729524345e-05
2014-01-19,3,59158,5.071165353798303e-05
2014-01-20,2,91702,2.1809775141218293e-05
2014-01-21,7,120470,5.810575246949448e-05
2014-01-22,5,158436,3.1558484182887724e-05
2014-01-23,6,129706,4.625846144357239e-05
2014-01-24,2,125951,1.5879191114004652e-05
2014-01-25,1,75671,1.3215102218815663e-05
2014-01-26,0,79776,0
2014-01-27,1,135795,7.364041385912589e-06
2014-01-28,2,129206,1.5479157314675787e-05
2014-01-29,7,132553,5.280906505322399e-05
2014-01-30,160,126455,0.0012652722312285003
2014-01-31,36,120005,0.00029998750052081163
2014-02-01,20,79760,0.00025075225677031093
2014-02-02,32,69160,0.0004626951995373048
2014-02-03,1,117624,8.501666326600013e-06
2014-02-04,4,122693,3.26016969183246e-05
2014-02-05,1,126624,7.897397017942885e-06
2014-02-06,1,127192,7.862129693691427e-06
2014-02-07,4,125374,3.19045416114984e-05
2014-02-08,1,76662,1.3044272260050612e-05
2014-02-09,0,71577,0
2014-02-10,1,105502,9.478493298705237e-06
2014-02-11,1,64067,1.56086596843929e-05
2014-02-12,4,110249,3.62815082222968e-05
2014-02-13,4,128133,3.121756300094433e-05
2014-02-14,4,124624,3.209654641160611e-05
2014-02-15,0,71248,0
