date,count,total_count,ratio
2017-01-01,292,141136,0.0020689264255753
2017-01-02,120,116674,0.0010285067795738
2017-01-03,59,153027,0.0003855528762898
2017-01-04,80,159150,0.0005026704366949
2017-01-05,135,160391,0.0008416931124564
2017-01-06,122,148379,0.0008222187775898
2017-01-07,66,95466,0.0006913456099553
2017-01-08,94,88608,0.0010608522932466
2017-01-09,90,157218,0.0005724535358546
2017-01-10,139,174557,0.0007963014946407
2017-01-11,220,172733,0.0012736419792396
2017-01-12,315,173547,0.0018150702691489
2017-01-13,216,164446,0.0013135010885032
2017-01-14,148,100889,0.0014669587368295
2017-01-15,128,95690,0.001337652837287
2017-01-16,180,147805,0.0012178207773755
2017-01-17,182,175398,0.0010376401099214
2017-01-18,107,179389,0.0005964691257546
2017-01-19,249,179215,0.0013893926289652
2017-01-20,287,171288,0.0016755406099668
2017-01-21,143,107068,0.0013355998057309
2017-01-22,486,100901,0.0048166024122654
2017-01-23,292,167197,0.0017464428189501
2017-01-24,167,176682,0.0009452009825562
2017-01-25,270,176982,0.0015255788724277
2017-01-26,230,173172,0.0013281592867207
2017-01-27,246,171903,0.0014310395979127
2017-01-28,135,103562,0.0013035669454046
2017-01-29,541,101720,0.0053185214313802
2017-01-30,485,161836,0.0029968610197978
2017-01-31,381,174388,0.0021847833566529
2017-02-01,618,185410,0.0033331535515883
2017-02-02,374,175085,0.002136105320273
2017-02-03,284,167255,0.0016980060386834
2017-02-04,593,102836,0.0057664631063051
2017-02-05,596,100846,0.0059100013882553
2017-02-06,540,162298,0.0033272129046568
2017-02-07,441,173386,0.0025434579493154
2017-02-08,358,178200,0.0020089786756453
2017-02-09,361,177509,0.0020336996997335
2017-02-10,304,167255,0.0018175839287315
2017-02-11,133,103163,0.0012892219109564
2017-02-12,167,101780,0.0016407938691294
2017-02-13,352,164300,0.0021424223980523
2017-02-14,357,176268,0.002025325073184
2017-02-15,419,179154,0.0023387699967625
2017-02-16,487,181769,0.0026792247302895
2017-02-17,329,163216,0.0020157337515929
2017-02-18,281,105617,0.0026605565391935
2017-02-19,281,97954,0.0028686934683627
2017-02-20,393,153562,0.0025592268920696
2017-02-21,542,174019,0.0031146024284704
2017-02-22,906,176101,0.00514477487351
2017-02-23,702,180718,0.0038845051406058
2017-02-24,739,164162,0.0045016508083478
2017-02-25,242,103164,0.0023457795354968
2017-02-26,436,101257,0.0043058751493723
2017-02-27,551,165244,0.0033344629759628
2017-02-28,405,169816,0.0023849342818109
2017-03-01,742,185126,0.004008080982682
2017-03-02,1094,176786,0.0061882728270338
2017-03-03,705,164984,0.004273141637977
2017-03-04,314,106101,0.0029594443030697
2017-03-05,515,98618,0.0052221703948569
2017-03-06,651,161540,0.0040299616194131
2017-03-07,454,176504,0.0025721796673163
2017-03-08,523,169916,0.0030779914781421
2017-03-09,625,174465,0.0035823804201415
2017-03-10,485,167886,0.0028888650631976
2017-03-11,215,102421,0.0020991788793313
2017-03-12,251,96572,0.002599097046763
2017-03-13,467,163488,0.0028564787629673
2017-03-14,913,170832,0.0053444319565421
2017-03-15,565,178665,0.0031623429323034
2017-03-16,696,176909,0.0039342260710308
2017-03-17,491,164842,0.0029786098203127
2017-03-18,517,102675,0.0050353055758461
2017-03-19,486,98285,0.0049448033779315
2017-03-20,869,160078,0.0054286035557665
2017-03-21,1156,169804,0.0068078490494923
2017-03-22,411,174410,0.0023565162548019
2017-03-23,544,175648,0.003097103297504
2017-03-24,783,164064,0.0047725277940315
2017-03-25,286,98861,0.0028929507085706
2017-03-26,385,96032,0.0040090803065644
2017-03-27,476,160391,0.0029677475668834
2017-03-28,641,173092,0.0037032329628174
2017-03-29,1253,174875,0.0071651179413867
2017-03-30,762,175292,0.0043470323802569
2017-03-31,453,170305,0.0026599336484542
2017-04-01,554,108410,0.0051102296836085
2017-04-02,297,90197,0.0032927924432076
2017-04-03,473,167544,0.0028231389963233
2017-04-04,770,175635,0.0043840920089959
2017-04-05,815,178419,0.0045678991587218
2017-04-06,674,175817,0.0038335314560025
2017-04-07,594,173003,0.0034334664716796
2017-04-08,210,105252,0.0019952114924181
2017-04-09,418,102871,0.0040633414664968
2017-04-10,890,164538,0.0054090848314675
2017-04-11,715,175463,0.0040749331767951
2017-04-12,798,184170,0.0043329532497149
2017-04-13,647,169693,0.0038127677629601
2017-04-14,607,138126,0.0043945383200845
2017-04-15,259,97831,0.0026474225961096
2017-04-16,333,92387,0.0036044032169028
2017-04-17,798,130846,0.0060987726029072
2017-04-18,1269,166449,0.0076239568876953
2017-04-19,1066,177333,0.006011289494905
2017-04-20,1731,176939,0.0097830325705469
2017-04-21,2398,166189,0.0144293545300832
2017-04-22,1290,104942,0.012292504431019
2017-04-23,5059,102989,0.0491217508665974
2017-04-24,8166,164967,0.0495008092527596
2017-04-25,3697,175685,0.0210433446224777
2017-04-26,2210,198110,0.011155418706779
2017-04-27,1923,177477,0.010835206815531
2017-04-28,1949,174511,0.0111683504191712
2017-04-29,1356,111889,0.0121191538042166
2017-04-30,1165,97449,0.0119549713183306
2017-05-01,1889,136332,0.0138558812311122
2017-05-02,1931,169148,0.0114160380258708
2017-05-03,2591,175248,0.0147847621656167
2017-05-04,3843,175919,0.0218452810668546
2017-05-05,3111,165767,0.0187673059173418
2017-05-06,2264,104044,0.0217600246049748
2017-05-07,7542,104360,0.0722690686086623
2017-05-08,8639,163676,0.0527811041325545
2017-05-09,3674,174535,0.0210502191537513
2017-05-10,2047,178320,0.0114793629430237
2017-05-11,1762,181884,0.0096874931274878
2017-05-12,1694,172007,0.0098484364008441
2017-05-13,1070,106306,0.0100652832389517
2017-05-14,2896,103086,0.0280930485225927
2017-05-15,3682,168647,0.0218325852223875
2017-05-16,1835,185635,0.0098849893608425
