date,count,total_count,ratio
2015-01-01,26,74030,0.0003512089693367
2015-01-02,23,87522,0.0002627910696739
2015-01-03,18,67451,0.0002668603875405
2015-01-04,43,67758,0.0006346114111986
2015-01-05,63,114333,0.0005510220146414
2015-01-06,55,115669,0.0004754947306538
2015-01-07,155,122579,0.0012644906550061
2015-01-08,14,122477,0.0001143071760412
2015-01-09,3,122478,2.4494194875814436e-05
2015-01-10,7,76834,9.110550016919593e-05
2015-01-11,8,74095,0.0001079694986166
2015-01-12,56,127429,0.0004394604054022
2015-01-13,10,132311,7.557950586119068e-05
2015-01-14,16,136592,0.0001171371676232
2015-01-15,13,136615,9.515792555722283e-05
2015-01-16,40,133969,0.0002985765363628
2015-01-17,12,77106,0.000155629912069
2015-01-18,67,75310,0.0008896560881689
2015-01-19,39,126146,0.0003091655700537
2015-01-20,8,134779,5.935642793016717e-05
2015-01-21,17,138787,0.0001224898585602
2015-01-22,19,135528,0.00014019243256
2015-01-23,125,129373,0.0009661985112813
2015-01-24,12,78044,0.0001537594177643
2015-01-25,9,74198,0.0001212970700018
2015-01-26,92,133821,0.0006874855217043
2015-01-27,60,130700,0.0004590665646518
2015-01-28,58,139844,0.0004147478619032
2015-01-29,98,139533,0.0007023428149613
2015-01-30,85,130224,0.0006527214645533
2015-01-31,57,81554,0.0006989234127081
2015-02-01,101,80166,0.0012598857370955
2015-02-02,66,130701,0.0005049693575412
2015-02-03,38,134376,0.0002827885932011
2015-02-04,24,138951,0.0001727227583824
2015-02-05,33,136373,0.0002419833838076
2015-02-06,50,128683,0.0003885517123473
2015-02-07,17,80801,0.0002103934357248
2015-02-08,9,74878,0.0001201955180426
2015-02-09,15,131454,0.000114108357296
2015-02-10,21,134816,0.0001557678613814
2015-02-11,18,140474,0.000128137591298
2015-02-12,32,131104,0.0002440810349035
2015-02-13,29,129515,0.0002239122881519
2015-02-14,96,78534,0.0012224004889601
2015-02-15,74,76534,0.0009668905323124
2015-02-16,57,119235,0.0004780475531513
2015-02-17,202,126634,0.0015951482224363
2015-02-18,137,131536,0.0010415399586425
2015-02-19,145,130355,0.0011123470522803
2015-02-20,37,123477,0.0002996509471399
2015-02-21,7,78463,8.92140244446427e-05
2015-02-22,20,77487,0.0002581078116329
2015-02-23,13,122764,0.0001058942360952
2015-02-24,41,130116,0.0003151034461557
2015-02-25,11,135342,8.127558333702767e-05
2015-02-26,21,134971,0.0001555889783731
2015-02-27,32,131403,0.0002435256424891
2015-02-28,9,80842,0.0001113282699586
2015-03-01,6,78511,7.64224121460687e-05
2015-03-02,21,131707,0.0001594448282931
2015-03-03,74,137309,0.0005389304415588
2015-03-04,134,137335,0.0009757163141224
2015-03-05,58,137033,0.0004232557121277
2015-03-06,16,130448,0.0001226542377039
2015-03-07,4,78687,5.083431824824939e-05
2015-03-08,25,74308,0.0003364375302793
2015-03-09,65,124108,0.0005237373900151
2015-03-10,62,133299,0.0004651197683403
2015-03-11,36,134256,0.0002681444404719
2015-03-12,20,133485,0.0001498295688654
2015-03-13,29,129198,0.0002244616789733
2015-03-14,28,77868,0.0003595828838547
2015-03-15,5,75169,6.651678218414506e-05
2015-03-16,22,128220,0.0001715800967087
2015-03-17,26,132419,0.0001963464457517
2015-03-18,27,136720,0.0001974839087185
2015-03-19,51,134039,0.0003804862763822
2015-03-20,623,178411,0.0034919371563412
2015-03-21,1,73547,1.3596747657960216e-05
2015-03-22,7,67673,0.0001034385944172
2015-03-23,11,124089,8.864605243011065e-05
2015-03-24,11,133096,8.264711185910921e-05
2015-03-25,11,130778,8.411200660661579e-05
2015-03-26,15,131721,0.0001138770583278
2015-03-27,43,125381,0.0003429546741531
2015-03-28,7,74289,9.42266015157022e-05
2015-03-29,4,73327,5.4550165696128304e-05
2015-03-30,56,117174,0.0004779217232491
2015-03-31,65,133415,0.0004872015890267
2015-04-01,88,135565,0.0006491351012429
2015-04-02,53,125285,0.0004230354791076
2015-04-03,46,103452,0.0004446506592429
2015-04-04,8,70669,0.0001132038093081
2015-04-05,6,64898,9.245277204228174e-05
2015-04-06,42,103207,0.0004069491410466
2015-04-07,66,127332,0.0005183300348694
2015-04-08,47,130859,0.000359165208354
2015-04-09,101,127732,0.0007907180659505
2015-04-10,26,120377,0.0002159881040398
2015-04-11,16,73424,0.0002179123992155
2015-04-12,7,73467,9.528087440619598e-05
2015-04-13,18,118511,0.0001518846351815
2015-04-14,58,131113,0.0004423665082791
2015-04-15,69,135861,0.0005078720162519
2015-04-16,57,125809,0.0004530677455507
2015-04-17,30,116702,0.0002570650031704
2015-04-18,12,76345,0.0001571812168445
2015-04-19,5,73890,6.766815536608472e-05
2015-04-20,28,122979,0.000227681148814
2015-04-21,11,128355,8.56998169140275e-05
2015-04-22,19,134191,0.0001415892272954
2015-04-23,13,129919,0.0001000623465389
2015-04-24,50,126110,0.0003964792641344
2015-04-25,9,76509,0.0001176332196212
2015-04-26,4,76682,5.2163480347408776e-05
2015-04-27,42,124779,0.000336595100137
2015-04-28,21,134504,0.0001561291857491
2015-04-29,13,136061,9.55453803808586e-05
2015-04-30,37,144828,0.0002554754605463
2015-05-01,15,96538,0.0001553792289046
2015-05-02,5,79923,6.256021420617344e-05
2015-05-03,17,73209,0.0002322118865166
2015-05-04,14,122955,0.0001138627953316
2015-05-05,23,137924,0.0001667585046837
2015-05-06,27,136895,0.0001972314547646
2015-05-07,28,132063,0.0002120200207476
2015-05-08,49,125610,0.00039009632991
2015-05-09,7,76329,9.17082629144886e-05
2015-05-10,3,73945,4.057069443505308e-05
2015-05-11,38,122962,0.0003090385647598
2015-05-12,62,131583,0.0004711854874869
2015-05-13,31,134459,0.0002305535516402
2015-05-14,6,121084,4.95523768623435e-05
2015-05-15,8,122748,6.517417799068009e-05
2015-05-16,1,74093,1.3496551631058263e-05
2015-05-17,6,72298,8.298984757531328e-05
2015-05-18,37,125939,0.0002937930267828
2015-05-19,39,133347,0.0002924700218227
2015-05-20,11,133945,8.212325954682892e-05
2015-05-21,27,131978,0.0002045795511373
2015-05-22,54,123009,0.0004389922688583
2015-05-23,21,74588,0.0002815466294846
2015-05-24,5,71473,6.995648706504554e-05
2015-05-25,6,102987,5.825978036062804e-05
2015-05-26,21,127207,0.0001650852547422
2015-05-27,17,133208,0.0001276199627649
2015-05-28,41,131315,0.0003122263260099
2015-05-29,26,123323,0.0002108284748181
2015-05-30,5,76372,6.546902005970774e-05
2015-05-31,28,70865,0.0003951174768926
2015-06-01,61,128339,0.0004753036878891
2015-06-02,43,134613,0.0003194342299777
2015-06-03,97,131804,0.0007359412460926
2015-06-04,74,128036,0.0005779624480614
2015-06-05,30,123804,0.0002423185034409
2015-06-06,33,75500,0.0004370860927152
2015-06-07,17,75565,0.0002249718785151
2015-06-08,48,127330,0.0003769732191942
2015-06-09,51,132830,0.000383949409019
2015-06-10,31,135807,0.0002282651115185
2015-06-11,29,130982,0.0002214044677894
2015-06-12,17,118846,0.0001430422563653
2015-06-13,7,75235,9.304180235262843e-05
2015-06-14,17,73597,0.0002309876761281
2015-06-15,57,133540,0.0004268384004792
2015-06-16,110,131285,0.0008378718056137
2015-06-17,71,136473,0.0005202494266265
2015-06-18,75,135173,0.0005548445325619
2015-06-19,26,121697,0.0002136453651281
2015-06-20,11,73782,0.0001490878534059
2015-06-21,85,71666,0.0011860575447213
2015-06-22,111,125685,0.0008831602816565
2015-06-23,77,130871,0.0005883656425029
2015-06-24,65,132651,0.0004900076139644
2015-06-25,46,132331,0.0003476131820964
2015-06-26,48,125508,0.0003824457405105
2015-06-27,15,77957,0.0001924137665636
2015-06-28,45,73323,0.0006137228427642
2015-06-29,49,131134,0.0003736635807647
2015-06-30,22,134451,0.0001636283850622
2015-07-01,24,141866,0.0001691737273201
2015-07-02,20,130899,0.0001527895553059
2015-07-03,8,111923,7.147771235581605e-05
2015-07-04,29,74938,0.0003869865755691
2015-07-05,173,72543,0.0023847924679155
2015-07-06,172,124763,0.0013786138518631
2015-07-07,23,129887,0.0001770769976979
2015-07-08,44,177468,0.0002479320215475
2015-07-09,71,128301,0.0005533861778162
2015-07-10,172,122940,0.0013990564503009
2015-07-11,58,73161,0.0007927721053566
2015-07-12,39,74746,0.0005217670510796
2015-07-13,24,119613,0.0002006470868551
2015-07-14,16,126225,0.0001267577738165
2015-07-15,20,127853,0.0001564296496757
2015-07-16,15,127031,0.0001180814131983
2015-07-17,11,119644,9.193942028016449e-05
2015-07-18,7,67774,0.0001032844453625
2015-07-19,5,65689,7.611624472895005e-05
2015-07-20,18,116545,0.0001544467802136
2015-07-21,33,122861,0.0002685962184908
2015-07-22,40,127268,0.0003142973881887
2015-07-23,15,124990,0.000120009600768
2015-07-24,16,118992,0.0001344628210299
2015-07-25,6,72776,8.244476200945366e-05
2015-07-26,6,71728,8.364934195850993e-05
2015-07-27,53,115743,0.000457911061576
2015-07-28,59,124985,0.0004720566467976
2015-07-29,29,124958,0.0002320779782006
2015-07-30,66,114123,0.0005783233879235
2015-07-31,13,122408,0.0001062022090059
2015-08-01,5,75597,6.614019074831012e-05
2015-08-02,8,67949,0.0001177353603437
2015-08-03,4,115847,3.452830025809904e-05
2015-08-04,3,121817,2.46271045913132e-05
2015-08-05,4,125547,3.186057811018981e-05
2015-08-06,55,161934,0.0003396445465436
2015-08-07,8,119721,6.682202788149113e-05
2015-08-08,1,73516,1.360248109255128e-05
2015-08-09,1,68648,1.45670667754341e-05
2015-08-10,10,113573,8.804909617602775e-05
2015-08-11,2,119910,1.6679176048703194e-05
2015-08-12,13,126120,0.0001030764351411
2015-08-13,4,125777,3.180231679877879e-05
2015-08-14,11,116961,9.404844349826012e-05
2015-08-15,18,72262,0.0002490935761534
2015-08-16,2,68894,2.9030104218074144e-05
2015-08-17,11,117443,9.366245753259028e-05
2015-08-18,6,129795,4.6226742170345546e-05
2015-08-19,31,126574,0.0002449160175075
2015-08-20,14,124363,0.00011257367545
2015-08-21,14,118243,0.0001184002435662
2015-08-22,14,73335,0.0001909047521647
2015-08-23,11,70038,0.0001570575973043
2015-08-24,18,117603,0.0001530573199663
2015-08-25,103,124793,0.0008253668074331
2015-08-26,106,126599,0.000837289394071
2015-08-27,101,128233,0.0007876287695055
2015-08-28,172,120394,0.0014286426233865
2015-08-29,52,73575,0.0007067618076792
2015-08-30,117,71278,0.0016414601980975
2015-08-31,124,119591,0.0010368673227918
2015-09-01,85,133801,0.0006352717842168
2015-09-02,81,130823,0.0006191571818411
2015-09-03,58,133708,0.0004337810751787
2015-09-04,44,122116,0.0003603131448786
2015-09-05,33,78194,0.000422027265519
2015-09-06,40,74613,0.000536099607307
2015-09-07,52,109487,0.0004749422305844
2015-09-08,45,129849,0.0003465563847237
2015-09-09,25,138131,0.0001809876132077
2015-09-10,11,136511,8.057958699298958e-05
2015-09-11,49,131398,0.0003729128297234
2015-09-12,9,81347,0.0001106371470367
2015-09-13,16,78023,0.0002050677364366
2015-09-14,30,133207,0.0002252133896867
2015-09-15,43,139964,0.0003072218570489
2015-09-16,20,144650,0.000138264777048
2015-09-17,23,143439,0.0001603469070475
2015-09-18,74,133936,0.0005525026878509
2015-09-19,71,85036,0.00083494049579
2015-09-20,67,82933,0.0008078810606151
2015-09-21,91,132801,0.0006852358039472
2015-09-22,84,140046,0.000599802921897
2015-09-23,76,135910,0.0005591935839894
2015-09-24,188,137412,0.0013681483422117
2015-09-25,69,132605,0.0005203423701972
2015-09-26,11,82832,0.0001327989182924
2015-09-27,30,80363,0.0003733061234647
2015-09-28,77,133344,0.0005774538036957
2015-09-29,64,139678,0.0004581967095748
2015-09-30,55,144060,0.0003817853672081
2015-10-01,39,150166,0.0002597125847395
2015-10-02,52,134475,0.000386688975646
2015-10-03,33,85991,0.0003837610912769
2015-10-04,23,82442,0.000278984013003
2015-10-05,85,135153,0.0006289168571914
2015-10-06,25,148489,0.0001683626396568
2015-10-07,37,150747,0.0002454443537848
2015-10-08,38,146972,0.0002585526494842
2015-10-09,60,136298,0.0004402118886557
2015-10-10,19,87591,0.0002169172631891
2015-10-11,18,82832,0.0002173073208421
2015-10-12,39,129665,0.0003007750742297
2015-10-13,41,143126,0.0002864608806226
2015-10-14,73,144022,0.0005068670064295
2015-10-15,46,145045,0.0003171429556344
2015-10-16,17,137077,0.0001240178877565
2015-10-17,5,85389,5.855555165185211e-05
2015-10-18,23,82257,0.0002796114616385
2015-10-19,38,133609,0.0002844119782349
2015-10-20,37,144936,0.0002552850913506
2015-10-21,51,146314,0.0003485654141093
2015-10-22,59,144932,0.0004070874617061
2015-10-23,30,135932,0.0002206985845864
2015-10-24,25,83199,0.0003004843808218
2015-10-25,14,84817,0.0001650612495136
2015-10-26,68,135161,0.0005031037059506
2015-10-27,86,143544,0.0005991194337624
2015-10-28,64,146076,0.0004381280977025
2015-10-29,31,147175,0.0002106335994564
2015-10-30,67,140256,0.0004776979237964
2015-10-31,10,86561,0.0001155254675893
2015-11-01,14,87129,0.0001606812886639
2015-11-02,27,135743,0.0001989052842503
2015-11-03,29,183982,0.0001576241154025
2015-11-04,28,149946,0.0001867338908673
2015-11-05,24,149005,0.0001610684205228
2015-11-06,74,141896,0.0005215087106049
2015-11-07,7,85369,8.199697782567443e-05
2015-11-08,32,81937,0.0003905439545016
2015-11-09,78,138276,0.0005640892128785
2015-11-10,198,148179,0.0013362217318243
2015-11-11,34,143799,0.0002364411435406
2015-11-12,27,150099,0.0001798812783562
2015-11-13,44,141182,0.0003116544602003
2015-11-14,41,104025,0.0003941360249939
2015-11-15,4,85943,4.6542475827001616e-05
2015-11-16,5,140882,3.549069433994407e-05
2015-11-17,25,148658,0.000168171238682
2015-11-18,5,150586,3.32036178662027e-05
2015-11-19,4,147093,2.719368018872414e-05
2015-11-20,9,140016,6.427836818649297e-05
2015-11-21,59,85997,0.0006860704443178
2015-11-22,71,83080,0.0008545979778526
2015-11-23,62,137205,0.0004518785758536
2015-11-24,110,146395,0.0007513917825062
2015-11-25,141,145864,0.0009666538693577
2015-11-26,42,126465,0.0003321076977819
2015-11-27,26,127579,0.0002037952954639
2015-11-28,6,85408,7.025103034844511e-05
2015-11-29,21,84328,0.0002490276064889
2015-11-30,60,141773,0.0004232117540011
2015-12-01,37,150883,0.0002452231199008
2015-12-02,39,146013,0.0002670995048386
2015-12-03,10,149564,6.68610093337969e-05
2015-12-04,22,139891,0.0001572652994116
2015-12-05,2,88972,2.247898215168817e-05
2015-12-06,9,85021,0.0001058562002328
2015-12-07,8,138922,5.75862714328904e-05
2015-12-08,80,144148,0.0005549851541471
2015-12-09,72,150227,0.0004792746976242
2015-12-10,16,149289,0.0001071746746243
2015-12-11,60,138413,0.0004334852940114
2015-12-12,16,86255,0.0001854964929569
2015-12-13,3,84726,3.5408257205580345e-05
2015-12-14,36,137649,0.0002615347732275
2015-12-15,45,147561,0.0003049586272795
2015-12-16,32,149674,0.0002137979876264
2015-12-17,9,146251,6.153804076553322e-05
2015-12-18,29,139459,0.0002079464215289
2015-12-19,20,83822,0.0002386008446469
2015-12-20,15,80683,0.0001859127697284
2015-12-21,8,129564,6.17455466024513e-05
2015-12-22,19,134406,0.0001413627367825
2015-12-23,10,128674,7.771577785722057e-05
2015-12-24,20,97432,0.0002052713687494
2015-12-25,7,69369,0.00010090962822
2015-12-26,13,66608,0.000195171751141
2015-12-27,18,72214,0.0002492591464259
2015-12-28,6,110897,5.410425890691362e-05
2015-12-29,13,118641,0.0001095742618487
2015-12-30,23,120245,0.0001912761445382
2015-12-31,10,98580,0.0001014404544532
2016-01-01,115,85899,0.0013387815923351
2016-01-02,40,73033,0.0005476976161461
2016-01-03,19,75953,0.0002501547009334
2016-01-04,40,126817,0.0003154151257323
2016-01-05,36,137664,0.0002615062761506
2016-01-06,103,134764,0.0007642990709685
2016-01-07,38,138462,0.0002744435296326
2016-01-08,70,134177,0.0005216989498945
2016-01-09,18,86473,0.0002081574595538
2016-01-10,14,84372,0.0001659318257241
2016-01-11,33,140654,0.0002346182831629
2016-01-12,24,149024,0.0001610478849044
2016-01-13,27,153899,0.0001754397364505
2016-01-14,114,165211,0.0006900266931378
2016-01-15,99,176590,0.0005606206466957
2016-01-16,12,104577,0.0001147479847385
2016-01-17,47,102223,0.0004597791103763
2016-01-18,74,139271,0.0005313381823926
2016-01-19,35,157207,0.0002226363965981
2016-01-20,81,156665,0.0005170267768806
2016-01-21,68,156011,0.0004358667017069
2016-01-22,89,149222,0.0005964268003377
2016-01-23,38,90166,0.0004214448905352
2016-01-24,76,86925,0.0008743169398907
2016-01-25,134,143687,0.0009325826275167
2016-01-26,139,153416,0.0009060332690201
2016-01-27,83,155352,0.000534270559761
2016-01-28,182,157346,0.0011566865379482
2016-01-29,54,151321,0.0003568572769146
2016-01-30,26,91500,0.0002841530054644
2016-01-31,69,85936,0.0008029231055669
2016-02-01,75,147525,0.0005083884087442
2016-02-02,56,159845,0.0003503393912853
2016-02-03,73,156821,0.0004654988808896
2016-02-04,104,154989,0.0006710153623805
2016-02-05,87,147955,0.000588016626677
2016-02-06,18,94724,0.0001900257590473
2016-02-07,24,85195,0.0002817066729268
2016-02-08,75,139379,0.0005381011486665
2016-02-09,90,146242,0.0006154182792904
2016-02-10,102,152160,0.0006703470031545
2016-02-11,152,154380,0.0009845834952714
2016-02-12,74,143468,0.0005157944628767
2016-02-13,25,90420,0.0002764875027648
2016-02-14,29,85792,0.0003380268556508
2016-02-15,78,133333,0.0005850014625036
2016-02-16,48,151717,0.0003163785205349
2016-02-17,22,155077,0.0001418650089955
2016-02-18,50,156406,0.0003196808306586
2016-02-19,57,148055,0.00038499206376
2016-02-20,17,93259,0.0001822880365433
2016-02-21,25,87243,0.0002865559414508
2016-02-22,82,141595,0.0005791164942264
2016-02-23,68,154212,0.0004409514175291
2016-02-24,86,157901,0.0005446450624125
2016-02-25,63,157817,0.000399196537762
2016-02-26,102,151057,0.0006752417961431
2016-02-27,22,92500,0.0002378378378378
2016-02-28,62,90568,0.0006845685010158
2016-02-29,75,147195,0.0005095281769081
2016-03-01,59,157876,0.0003737110137069
2016-03-02,90,157025,0.0005731571405827
2016-03-03,497,157183,0.0031619195460068
2016-03-04,118,152693,0.0007727924659283
2016-03-05,20,94492,0.0002116581297887
2016-03-06,83,90158,0.0009206060471616
2016-03-07,191,139426,0.0013699023137721
2016-03-08,128,149092,0.0008585303034368
2016-03-09,44,155254,0.0002834065466912
2016-03-10,40,158822,0.0002518542771152
2016-03-11,155,154474,0.0010034051037715
2016-03-12,58,92851,0.0006246567080591
2016-03-13,46,88539,0.0005195450592394
2016-03-14,64,147034,0.0004352734741624
2016-03-15,62,156256,0.000396784763465
2016-03-16,52,161861,0.0003212633061701
2016-03-17,110,159631,0.0006890892119951
2016-03-18,40,149945,0.0002667644803094
2016-03-19,8,91813,8.713363031378998e-05
2016-03-20,22,88407,0.0002488490730372
2016-03-21,29,142090,0.0002040959954958
2016-03-22,58,151909,0.0003818075295077
