publish_date,title,media_name
2016-11-13,"India, France sign 20 pacts to cement ties as Modi meets Macron",kuna.net.kw
2016-11-13,"Pres. Macron: Destruction of drones violating French airspace ""settled decision""",kuna.net.kw
2016-11-13,"Modi, Macron eye efforts to end Ukraine conflict",kuna.net.kw
2015-01-26,Macron's economic reform to get easier ride in France's post-Charlie climate,rfi.fr
2015-02-20,Macron Law: French Labor Reforms Force Vote Of Confidence In Parliament,ibtimes.com
2015-03-03,UPDATE 2-Areva must lay out strategy before any financial operation-Macron,reuters.com
2015-03-03,Areva must lay out strategy before any financial operation: Macron,yahoo.com
2015-03-03,Areva must lay out strategy before any financial operation: Macron,reuters.com
2015-03-03,What can economists say about the 'Macron Law'?,euractiv.com
2015-03-08,France’s Hollande Casts Fate With Ex-Banker Macron,wsj.com
2015-03-08,France’s Hollande Casts Fate With Ex-Banker Macron,wsj.com
2015-04-02,"Groupe Gorgé is Pleased to Welcome Emmanuel Macron, French Minister of the Economy, Industry and the Digital Sector, to Its Prodways Subsidiary",finanznachrichten.de
2015-04-02,All offers must be considered for Dailymotion: Macron,reuters.com
2015-04-02,All offers must be considered for Dailymotion: Macron,yahoo.com
2015-04-02,Areva-EDF proposals to come in weeks -Macron tells BFM Business,reuters.com
2015-04-02,All offers must be considered for Dailymotion: Macron,reuters.com
2015-04-02,All offers must be considered for Dailymotion: French economy minister Macron,indiatimes.com
2015-04-02,All offers must be considered for Dailymotion: Macron,reuters.com
2015-04-09,State does not plan to keep extra Renault shares: Macron,yahoo.com
2015-04-30,Macron defends French economic reforms in Strasbourg,euractiv.com
2015-05-31,France's Macron does not rule out eventual EU treaty change,thestar.com.my
2015-06-03,French economy minister Emmanuel Macron says confident Greek deal can be reached,indiatimes.com
2015-06-22,Altice's Bouygues bid could create 'too big to fail' telco: Macron,yahoo.com
2015-06-24,French economy minister Emmanuel Macron in US to seek economy investment,indiatimes.com
2015-06-24,France's Macron warns Britain against seeking 'EU a la carte',yahoo.com
2015-06-24,France's Macron warns Britain against seeking 'EU a la carte',thestar.com.my
2015-07-05,Europe can't count on ECB alone in Greek crisis: French Economy Minister Emmanuel Macron,indiatimes.com
2015-07-05,"Europe can't count on ECB alone in Greek crisis: Emmanuel Macron, French Economy Minister",indiatimes.com
2015-07-11,"Greece needs debt relief, France's Emmanuel Macron tells German newspaper",indiatimes.com
2015-07-11,"Greece needs debt relief, France's Macron tells German newspaper",todayonline.com
2015-07-11,"GREECE LATEST-Greece needs debt relief, France's Macron tells German newspaper",reuters.com
2015-07-11,"Greece needs debt relief, France's Macron tells German newspaper",thestar.com.my
2015-07-11,"Greece needs debt relief, France's Macron tells German newspaper",yahoo.com
2015-07-21,France's Macron sees Areva recapitalisation plan in September,reuters.com
2015-07-21,France's Macron sees Areva recapitalization plan in September,reuters.com
2015-07-21,France's Macron sees Areva recapitalisation plan in September,reuters.com
2015-07-21,France's Macron sees Areva recapitalisation plan in September,reuters.com
2015-08-25,French Economy Minister Emmanuel Macron says must not underestimate China risks,indiatimes.com
2015-08-27,France's Macron says China slowdown to have limited impact on France,reuters.com
2015-08-27,France's Macron says China slowdown to have limited impact on France,reuters.com
2015-08-30,"France's Macron for 'EU, eurozone rebirth'",dw.com
2015-08-30,"France's Macron for 'EU, eurozone rebirth'",dw.com
2015-08-31,French minister Emmanuel Macron urges strong eurozone economic government,indiatimes.com
2015-09-24,French Socialists lay into banker-turned-Economy Minister Macron,rfi.fr
2015-09-24,France's Macron says no sign of other carmaker wrongdoing after VW,todayonline.com
2015-09-24,France's Macron says no sign of other carmaker wrongdoing after VW,yahoo.com
2015-09-24,France's Macron says no sign of other carmaker wrongdoing after VW,reuters.com
2015-10-27,France oppposed to recalibration of Renault-Nissan tie-up: Emmanuel Macron,indiatimes.com
2015-11-03,Emmanuel Macron lays the groundwork for a political future,ft.com
2015-11-10,UPDATE 1-France ready to return to 15 pct Renault stake -Macron,reuters.com
2015-11-10,France ready to return to 15 per cent Renault stake: Macron,indiatimes.com
2015-11-24,"France, Germany propose 10 billion euro fund for refugee crisis: Macron",yahoo.com
2015-12-01,Alstom could eye tie-up with Bombardier: France's Macron,yahoo.com
2016-01-06,France to remain reference shareholder in Orange: Macron,reuters.com
2016-01-09,French economic minister Emmanuel Macron's priority is private investment,indiatimes.com
2016-01-15,France to cut Renault stake only when price improves -Macron,dailymail.co.uk
2016-01-15,France to cut Renault stake only when price improves: Macron,reuters.com
2016-01-15,France to cut Renault stake only when price improves: Macron,reuters.com
2016-01-15,France to cut Renault stake only when price improves: Macron,yahoo.com
2016-01-22,Reforms vital to cut France unemployment: Macron,cnbc.com
2016-01-25,Macron in Moscow: France wants Russia sanctions lifted by mid-year,rfi.fr
2016-02-26,A 29-year-old student has been arrested after she allegedly sent 'erotic photos' to French economic minister Emmanuel Macron,independent.co.uk
2016-02-26,French: Woman arrested for 'emailing erotic photographs' to economy minister Emmanuel Macron,ibtimes.co.uk
2016-03-02,France would end Calais camp and woo bankers post Brexit: Macron,yahoo.com
2016-03-03,France would end Calais camp and woo bankers post Brexit: Macron,eubusiness.com
2016-03-03,French Home Sec says Macron shouldn't talk about Calais,itv.com
2016-03-07,France backs EDF over UK nuclear plant plan: Economy minister Emmanuel Macron,indiatimes.com
2016-03-13,French think-tank launch fans rumours of Macron's ambitions,thestar.com.my
2016-03-12,French think-tank launch fans rumours of Macron's ambitions,reuters.com
2016-03-12,French think-tank launch fans rumours of Macron's ambitions,dailymail.co.uk
2016-04-07,France's Macron launches new political movement as election looms,thestar.com.my
2016-04-06,France's Macron launches new political movement as election looms,dailymail.co.uk
2016-04-06,France's Macron launches new political movement,yahoo.com
2016-04-06,France's Macron launches new political movement,reuters.com
2016-04-06,France's Macron launches new political movement,dailystar.com.lb
2016-04-06,France's Macron launches new political movement,dailymail.co.uk
2016-04-08,Macron shakes French politics with centrist push,thestar.com.my
2016-04-07,Macron shakes French politics with centrist push,reuters.com
2016-04-07,Macron shakes French politics with centrist push,dailymail.co.uk
2016-04-07,"French minister Macron forms party, fuels presidential speculation",yahoo.com
2016-04-07,"French minister Macron forms party, fuels presidential speculation",dailystar.com.lb
2016-04-07,France's economy minister Emmanuel Macron launches political movement,theguardian.com
2016-04-07,France's economy minister Emmanuel Macron launches political movement,theguardian.com
2016-04-09,Emmanuel Macron: France’s political prince eyeing the Elysée,einnews.com
2016-04-09,Emmanuel Macron: France’s political prince eyeing the Elysée,einnews.com
2016-04-09,Emmanuel Macron: France’s political prince eyeing the Elysée,theguardian.com
2016-04-09,Emmanuel Macron: France’s political prince eyeing the Elysée,theguardian.com
2016-04-15,Russian econ min to discuss Yamal LNG financing with France's Macron,reuters.com
2016-04-15,Francois Hollande slaps down protégé Emmanuel Macron over presidential ambitions,independent.co.uk
2016-04-17,France finalising UK nuclear plant deal: French Economy Minister Emmanuel Macron,indiatimes.com
2016-04-17,Britain would face consequences if it leaves EU: France's Macron,yahoo.com
2016-04-17,Britain would face consequences if it leaves EU: France's Macron,dailystar.com.lb
2016-04-17,France committed to UK nuclear project: BBC cites Macron,reuters.com
2016-04-17,France committed to UK nuclear project: BBC cites Macron,yahoo.com
2016-04-20,France's economy minister Macron suggests ending wealth tax,france24.com
2016-04-17,"Hinkley Point will go ahead, says French minister Macron",telegraph.co.uk
2015-05-31,France's Emmanuel Macron does not rule out eventual EU treaty change,indiatimes.com
2016-04-28,"In France, maverick Macron sets his movement En Marche",dw.com
2016-04-28,"In France, maverick Macron sets his movement En Marche",dw.com
2016-05-12,France's Macron rejects report on plans for presidential bid,thestar.com.my
2016-05-12,"France's Macron says ""nonsense"" to report plans presidential bid",dailymail.co.uk
2016-11-13,"Modi, Macron discuss global, bilateral issues",kuna.net.kw
2016-05-24,France's Macron says divisive labour reforms should be tougher,dailymail.co.uk
2016-05-28,France's Macron launches door-to-door campaign as presidency battle looms,dailystar.com.lb
2016-05-28,France's Macron launches door-to-door campaign as presidency battle looms,reuters.com
2016-05-28,France's Macron launches door-to-door campaign as presidency battle looms,reuters.com
2016-05-28,France's Macron launches door-to-door campaign as presidency battle looms,reuters.com
2016-05-28,France's Macron launches door-to-door campaign as presidency battle looms,todayonline.com
2016-05-28,France's Macron launches door-to-door campaign as presidency battle looms,yahoo.com
2016-05-28,France's Macron launches door-to-door campaign as presidency battle...,dailymail.co.uk
2016-05-29,France’s Macron launches door-to-door campaign,thenews.com.pk
2016-06-16,Shooting Star: French Economics Minister Macron Means Business,spiegel.de
2016-06-18,"UK will be 'isolated trading post' if we vote for Brexit, says Macron",dailymail.co.uk
2016-06-18,Emmanuel Macron: Brexit would turn UK into tiny trading outpost,theguardian.com
2016-06-18,Brexit means 'Guernseyfication' of the UK- Macron,rfi.fr
2016-06-25,"France's Macron wants new European project, and an EU-wide referendum",dailymail.co.uk
2016-06-25,"UPDATE 1-France's Macron wants new European project, and an EU-wide referendum",reuters.com
2016-06-25,"UPDATE 1-France's Macron wants new European project, and an EU-wide referendum",reuters.com
2016-06-25,"France's Macron wants new project for Europe, and submit project to...",dailymail.co.uk
2016-06-25,"France's Macron wants new project for Europe, and submit project to referendum",todayonline.com
2016-06-25,"France's Macron wants new project for Europe, and submit project to referendum",yahoo.com
2016-06-25,"France's Macron wants new project for Europe, and submit project to referendum",reuters.com
2016-06-25,"France's Macron wants new project for Europe, and submit project to referendum",thestar.com.my
2016-06-25,"France's Macron wants new project for Europe, and submit project to referendum",reuters.com
2016-06-26,France's Macron wants EU-wide referendum,euobserver.com
2016-06-28,UPDATE 1-France's Macron demands quick EDF decision on UK's Hinkley Point,reuters.com
2016-06-28,UPDATE 1-France's Macron demands quick EDF decision on UK's Hinkley Point,reuters.com
2016-06-28,France's Macron demands quick EDF decision on UK's Hinkley Point,dailymail.co.uk
2016-06-28,France's Macron says timely EDF decision on Hinkley Point needed,reuters.com
2016-06-28,France's Macron says timely EDF decision on Hinkley Point needed,dailymail.co.uk
2016-07-04,France's Macron: Corporate tax should not be first priority for UK,reuters.com
2016-07-04,France's Macron: Corporate tax should not be first priority for UK,dailymail.co.uk
2016-07-04,France's Macron: Corporate tax should not be first priority for UK,dailystar.com.lb
2016-07-05,Emmanuel Macron Has Big Plans for France. Is It Ready for Them?,google.com
2016-07-13,Macron holds first Paris rally as French presidency bid rumours swirl,thehimalayantimes.com
2016-07-12,Emmanuel Macron Hints at Presidential Ambitions at En Marche Rally,wsj.com
2016-07-12,Macron holds first Paris rally as French presidency bid rumors swirl,yahoo.com
2016-07-12,Macron holds first Paris rally as French presidency bid rumours swirl,dailymail.co.uk
2016-07-12,France's Emmanuel Macron in new step towards presidential bid?,indiatimes.com
2016-07-13,Macron holds first Paris rally as presidency bid rumors swirl,todayonline.com
2016-07-12,France's Macron in new step towards presidential bid?,yahoo.com
2016-07-12,Macron holds first Paris rally as presidency bid rumours swirl,dailymail.co.uk
2016-07-12,Macron holds first Paris rally as presidency bid rumours swirl,dailystar.com.lb
2016-07-12,Why France’s Hollande holds on to ‘rebel’ minister Macron,france24.com
2016-07-13,Macron toys with French presidency bid as Cabinet patience frays,examiner-enterprise.com
2016-07-13,France's whizz-kid economy minister Macron aims higher,yahoo.com
