date,count,total_count,ratio
2010-01-01,7,4356,0.0016069788797061
2010-01-02,0,2582,0.0
2010-01-03,9,3323,0.0027083960276858
2010-01-04,3,4879,0.0006148800983808
2010-01-05,2,4966,0.0004027386226339
2010-01-06,1,5750,0.0001739130434782
2010-01-07,6,6115,0.0009811937857726
2010-01-08,7,5147,0.0013600155430347
2010-01-09,1,3635,0.0002751031636863
2010-01-10,5,3915,0.0012771392081736
2010-01-11,0,5557,0.0
2010-01-12,1,5925,0.000168776371308
2010-01-13,0,5898,0.0
2010-01-14,8,6448,0.0012406947890818
2010-01-15,2,5808,0.0003443526170798
2010-01-16,2,3252,0.0006150061500615
2010-01-17,4,3615,0.0011065006915629
2010-01-18,3,4576,0.0006555944055944
2010-01-19,2,5714,0.000350017500875
2010-01-20,1,5083,0.0001967342120794
2010-01-21,3,5971,0.0005024284039524
2010-01-22,3,4995,0.0006006006006006
2010-01-23,1,2975,0.0003361344537815
2010-01-24,1,3125,0.00032
2010-01-25,1,4690,0.0002132196162046
2010-01-26,0,4827,0.0
2010-01-27,2,5113,0.0003911597887737
2010-01-28,1,5706,0.0001752541184717
2010-01-29,1,4581,0.0002182929491377
2010-01-30,1,1124,0.0008896797153024
2010-01-31,3,1276,0.0023510971786833
2010-02-01,3,2995,0.0010016694490818
2010-02-02,17,5185,0.0032786885245901
2010-02-03,5,5681,0.0008801267382503
2010-02-04,2,6225,0.0003212851405622
2010-02-05,1,3085,0.0003241491085899
2010-02-06,0,2092,0.0
2010-02-07,4,2541,0.0015741833923652
2010-02-08,0,3734,0.0
2010-02-09,1,5375,0.0001860465116279
2010-02-10,2,2868,0.000697350069735
2010-02-11,5,2902,0.001722949689869
2010-02-12,7,3341,0.0020951810835079
2010-02-13,4,2241,0.001784917447568
2010-02-14,3,3509,0.0008549444286121
2010-02-15,1,2538,0.0003940110323089
2010-02-16,4,4299,0.0009304489416143
2010-02-17,2,5322,0.0003757985719654
2010-02-18,2,6069,0.0003295435821387
2010-02-19,2,5248,0.0003810975609756
2010-02-20,1,2784,0.0003591954022988
2010-02-21,6,3188,0.0018820577164366
2010-02-22,3,4279,0.0007010983874737
2010-02-23,0,4668,0.0
2010-02-24,2,4569,0.0004377325454147
2010-02-25,6,5445,0.0011019283746556
2010-02-26,7,4563,0.0015340784571553
2010-02-27,0,2839,0.0
2010-02-28,3,3300,0.0009090909090909
2010-03-01,4,4355,0.000918484500574
2010-03-02,2,5331,0.0003751641343087
2010-03-03,7,5742,0.0012190874259839
2010-03-04,16,6419,0.0024926000934725
2010-03-05,17,5587,0.0030427778772149
2010-03-06,2,3687,0.0005424464334147
2010-03-07,7,3804,0.0018401682439537
2010-03-08,8,5528,0.0014471780028943
2010-03-09,3,5658,0.0005302226935312
2010-03-10,11,5334,0.0020622422197225
2010-03-11,9,6139,0.0014660368138133
2010-03-12,7,5547,0.0012619433928249
2010-03-13,2,3319,0.0006025911419102
2010-03-14,0,3734,0.0
2010-03-15,2,5255,0.0003805899143672
2010-03-16,10,4411,0.0022670596236681
2010-03-17,3,4997,0.0006003602161296
2010-03-18,6,6422,0.000934288383681
2010-03-19,1,5456,0.000183284457478
2010-03-20,0,2851,0.0
2010-03-21,2,3541,0.0005648121999435
2010-03-22,1,4557,0.0002194426157559
2010-03-23,0,4770,0.0
2010-03-24,1,5114,0.0001955416503715
2010-03-25,0,6039,0.0
2010-03-26,2,5093,0.0003926958570587
2010-03-27,0,2940,0.0
2010-03-28,1,3446,0.0002901915264074
2010-03-29,0,4791,0.0
2010-03-30,0,4925,0.0
2010-03-31,3,5232,0.0005733944954128
2010-04-01,1,6047,0.0001653712584752
2010-04-02,1,5610,0.0001782531194295
2010-04-03,7,3552,0.0019707207207207
2010-04-04,6,3807,0.0015760441292356
2010-04-05,3,5433,0.0005521811154058
2010-04-06,1,5613,0.0001781578478531
2010-04-07,1,5493,0.0001820498816675
2010-04-08,0,6556,0.0
2010-04-09,5,5641,0.0008863676653075
2010-04-10,6,3607,0.0016634322151372
2010-04-11,6,4183,0.0014343772412144
2010-04-12,2,5301,0.0003772873042822
2010-04-13,4,5965,0.0006705783738474
2010-04-14,1,6010,0.0001663893510815
2010-04-15,3,6741,0.0004450378282153
2010-04-16,4,5931,0.0006744225257123
2010-04-17,3,3369,0.0008904719501335
2010-04-18,3,3836,0.0007820646506777
2010-04-19,1,5858,0.0001707067258449
2010-04-20,4,5415,0.0007386888273314
2010-04-21,2,5369,0.0003725088470851
2010-04-22,2,6281,0.000318420633657
2010-04-23,4,5648,0.0007082152974504
2010-04-24,0,3353,0.0
2010-04-25,0,3687,0.0
2010-04-26,1,5268,0.0001898253606681
2010-04-27,0,5601,0.0
2010-04-28,1,5470,0.0001828153564899
2010-04-29,0,5390,0.0
2010-04-30,1,4013,0.0002491901320707
2010-05-01,1,3912,0.0002556237218813
2010-05-02,7,3739,0.0018721583311045
2010-05-03,1,5939,0.0001683785149014
2010-05-04,1,6004,0.0001665556295802
2010-05-05,2,6102,0.0003277613897082
2010-05-06,9,6251,0.0014397696368581
2010-05-07,5,5705,0.0008764241893076
2010-05-08,4,3945,0.0010139416983523
2010-05-09,1,3742,0.0002672367717797
2010-05-10,1,3225,0.0003100775193798
2010-05-11,1,2976,0.0003360215053763
2010-05-12,2,3953,0.0005059448520111
2010-05-13,0,6631,0.0
2010-05-14,4,5899,0.0006780810306831
2010-05-15,2,3414,0.0005858230814294
2010-05-16,10,4109,0.0024336821611097
2010-05-17,7,5728,0.0012220670391061
2010-05-18,4,6349,0.0006300204756654
2010-05-19,3,6340,0.0004731861198738
2010-05-20,7,5833,0.0012000685753471
2010-05-21,10,5414,0.0018470631695603
2010-05-22,0,2936,0.0
2010-05-23,3,3499,0.0008573878250928
2010-05-24,4,4997,0.0008004802881729
2010-05-25,1,5243,0.0001907304978065
2010-05-26,2,5641,0.000354547066123
2010-05-27,3,5917,0.0005070136893696
2010-05-28,7,5080,0.0013779527559055
2010-05-29,3,2964,0.0010121457489878
2010-05-30,2,3012,0.0006640106241699
2010-05-31,4,2992,0.0013368983957219
2010-06-01,6,5563,0.0010785547366528
2010-06-02,3,5284,0.0005677517032551
2010-06-03,0,6226,0.0
2010-06-04,8,5879,0.001360775642116
2010-06-05,5,3752,0.0013326226012793
2010-06-06,13,3654,0.0035577449370552
2010-06-07,10,5701,0.0017540782318891
2010-06-08,10,6056,0.0016512549537648
2010-06-09,15,5795,0.0025884383088869
2010-06-10,32,6632,0.0048250904704463
2010-06-11,47,5568,0.0084410919540229
2010-06-12,24,3551,0.006758659532526
2010-06-13,7,3657,0.0019141372709871
2010-06-14,8,5573,0.0014354925533823
2010-06-15,12,6150,0.0019512195121951
2010-06-16,7,6099,0.0011477291359239
2010-06-17,24,6776,0.0035419126328217
2010-06-18,10,5847,0.0017102787754403
2010-06-19,3,3305,0.0009077155824508
2010-06-20,2,3179,0.0006291286568103
2010-06-21,10,4833,0.0020691082143596
2010-06-22,6,5403,0.0011104941699056
2010-06-23,4,5181,0.0007720517274657
2010-06-24,5,5685,0.0008795074758135
2010-06-25,4,4922,0.0008126777732629
2010-06-26,6,2898,0.0020703933747412
2010-06-27,2,3132,0.0006385696040868
2010-06-28,3,4839,0.0006199628022318
2010-06-29,8,5721,0.0013983569306065
2010-06-30,11,5313,0.0020703933747412
2010-07-01,18,6515,0.0027628549501151
2010-07-02,34,5088,0.0066823899371069
2010-07-03,10,3230,0.0030959752321981
2010-07-04,6,3708,0.0016181229773462
2010-07-05,1,4301,0.0002325040688212
2010-07-06,3,5934,0.0005055611729019
2010-07-07,5,5909,0.0008461668641056
2010-07-08,9,6005,0.0014987510407993
2010-07-09,9,5881,0.0015303519809556
2010-07-10,7,3610,0.0019390581717451
2010-07-11,33,3569,0.0092462874754833
2010-07-12,16,5344,0.0029940119760479
2010-07-13,2,5968,0.0003351206434316
2010-07-14,4,6090,0.0006568144499178
2010-07-15,2,5950,0.0003361344537815
2010-07-16,2,4473,0.0004471272076905
2010-07-17,2,3471,0.0005762028233938
2010-07-18,18,3692,0.0048754062838569
2010-07-19,12,5564,0.00215672178289
2010-07-20,4,5143,0.0007777561734396
2010-07-21,1,5216,0.000191717791411
2010-07-22,13,5694,0.002283105022831
2010-07-23,0,5433,0.0
2010-07-24,1,2948,0.0003392130257801
2010-07-25,2,3168,0.0006313131313131
2010-07-26,2,4863,0.0004112687641373
2010-07-27,0,5204,0.0
2010-07-28,1,5351,0.0001868809568304
2010-07-29,3,5928,0.0005060728744939
2010-07-30,5,5374,0.0009304056568663
2010-07-31,2,3052,0.0006553079947575
2010-08-01,6,4158,0.0014430014430014
2010-08-02,1,5270,0.0001897533206831
2010-08-03,4,5796,0.0006901311249137
2010-08-04,3,6122,0.0004900359359686
2010-08-05,23,6587,0.0034917261272202
2010-08-06,33,5979,0.0055193176116407
2010-08-07,4,3849,0.0010392309690828
2010-08-08,0,3784,0.0
2010-08-09,30,5839,0.0051378660729576
2010-08-10,21,5961,0.003522898842476
2010-08-11,7,5795,0.0012079378774805
2010-08-12,7,6231,0.0011234151821537
2010-08-13,2,5774,0.0003463803255975
2010-08-14,2,3476,0.0005753739930955
2010-08-15,1,3509,0.000284981476204
2010-08-16,7,5237,0.0013366431162879
2010-08-17,3,5701,0.0005262234695667
2010-08-18,4,5840,0.0006849315068493
2010-08-19,6,5676,0.0010570824524312
2010-08-20,0,5116,0.0
2010-08-21,0,2904,0.0
2010-08-22,2,3239,0.0006174745291756
