publish_date,title,media_name
2010-02-01,Men Defend Historic Mandela Site ... From Rabbits,nytimes.com
2010-01-31,Historic land where Mandela imprisoned now overrun by rabbits,cleveland.com
2010-05-02,Mandela toasts milestone,denverpost.com
2010-02-18,Jackson: Still much to learn from Nelson Mandela,denverpost.com
2010-02-28,Actor destined to play Mandela,dispatch.com
2010-03-10,Criticism of Mandela by ex-wife in British newspaper interview prompts outrage in South Africa,startribune.com
2010-03-10,"Mandela Agreed to a 'Bad Deal for Blacks,' Ex-Wife Says",foxnews.com
2010-03-11,Ex-wife criticizes Nelson Mandela – and many South Africans agree,csmonitor.com
2010-03-10,Ex-wife criticizes Mandela to UK newspaper,sfgate.com
2010-03-12,Mandela’s Ex-Wife Says Interview Didn’t Happen,nytimes.com
2010-03-31,Nelson Mandela and the 2010 World Cup: South Africa at a crossroads,csmonitor.com
2010-03-31,Nelson Mandela and the 2010 World Cup: South Africa at a crossroads,csmonitor.com
2010-04-03,"Guardians of the free Republics looked to Gandhi, King, and Mandela",csmonitor.com
2010-04-04,"Time Mag Chief Stengel: Obama a Mandela for the 21st Century, Mandela’s ‘True Successor’",newsbusters.org
2010-04-05,Book Review: Mandela's Way,wsj.com
2010-04-06,Time Editor Elaborates on Obama to Mandela Comparisons on Hardball,newsbusters.org
2010-04-20,Sharing 'Mandela's Way' In Fifteen Lessons,npr.org
2010-04-20,Sharing 'Mandela's Way' In Fifteen Lessons,npr.org
2010-04-21,Murder Threatens Mandela's Dream,thedailybeast.com
2010-04-23,FIFA President Still Hopes Mandela Opens World Cup,nytimes.com
2010-05-06,FIFA brings Nelson Mandela the World Cup after its arrival in South Africa,nydailynews.com
2010-05-06,FIFA brings Nelson Mandela the World Cup after its arrival in South Africa,nydailynews.com
2010-05-06,Mandela Reunited With World Cup Trophy,nytimes.com
2010-05-16,Winnie Mandela no fan of planned biopic starring Jennifer Hudson,latimes.com
2010-05-16,Winnie Mandela no fan of planned biopic starring Jennifer Hudson,latimes.com
