date,count,total_count,ratio
2022-01-01,1,4491,0.00022266755733689602
2022-01-02,2,5210,0.00038387715930902113
2022-01-03,22,9582,0.00229597161344187
2022-01-04,8,11672,0.0006854009595613434
2022-01-05,3,12275,0.0002443991853360489
2022-01-06,4,12098,0.00033063316250619935
2022-01-07,1,11201,8.927774305865548e-05
2022-01-08,2,5338,0.0003746721618583739
2022-01-09,1,5669,0.0001763979537837361
2022-01-10,8,10758,0.0007436326454731362
2022-01-11,8,11438,0.000699422976044763
2022-01-12,1,11377,8.78966335589347e-05
2022-01-13,1,11872,8.423180592991914e-05
2022-01-14,2,10970,0.00018231540565177758
2022-01-15,0,5547,0
2022-01-16,2,5369,0.00037250884708511827
2022-01-17,3,7265,0.00041293874741913283
2022-01-18,1,10718,9.33009889904833e-05
2022-01-19,7,11597,0.000603604380443218
2022-01-20,5,9947,0.0005026641198351262
2022-01-21,1,9633,0.00010380982040901069
2022-01-22,1,4862,0.00020567667626491157
2022-01-23,3,4628,0.0006482281763180639
2022-01-24,9,8771,0.0010261087675293582
2022-01-25,2,8424,0.00023741690408357076
2022-01-26,3,9792,0.00030637254901960784
2022-01-27,2,11006,0.00018171906232963838
2022-01-28,5,10364,0.00048243921265920495
2022-01-29,0,5405,0
2022-01-30,1,5270,0.00018975332068311195
2022-01-31,15,9933,0.0015101177891875567
2022-02-01,46,10832,0.004246676514032497
2022-02-02,22,11583,0.001899335232668566
2022-02-03,6,11428,0.0005250262513125656
2022-02-04,2,10571,0.00018919685933213508
2022-02-05,1,5549,0.00018021265092809516
2022-02-06,1,5335,0.00018744142455482662
2022-02-07,4,10515,0.0003804089396100808
2022-02-08,3,11671,0.00025704738240082254
2022-02-09,3,11932,0.00025142474019443513
2022-02-10,0,12302,0
2022-02-11,3,10999,0.0002727520683698518
2022-02-12,0,2458,0
2022-02-13,0,1823,0
2022-02-14,9,6842,0.0013154048523823444
2022-02-15,7,9657,0.0007248627938283111
2022-02-16,11,11258,0.0009770829632261503
2022-02-17,6,11643,0.000515331100231899
2022-02-18,2,10747,0.00018609844607797525
2022-02-19,2,5661,0.0003532944709415298
2022-02-20,2,5219,0.0003832151753209427
2022-02-21,1,7580,0.00013192612137203166
2022-02-22,11,10500,0.0010476190476190477
2022-02-23,12,11355,0.0010568031704095112
2022-02-24,58,11924,0.004864139550486414
2022-02-25,26,11061,0.0023506012114637015
2022-02-26,32,6000,0.005333333333333333
2022-02-27,20,5624,0.0035561877667140826
2022-02-28,42,10598,0.003963011889035667
2022-03-01,12,11329,0.0010592285285550358
2022-03-02,7,11674,0.0005996230940551653
2022-03-03,5,11240,0.00044483985765124553
2022-03-04,11,10663,0.001031604614086092
2022-03-05,3,5386,0.0005569996286669142
2022-03-06,2,4779,0.0004184975936388366
2022-03-07,17,9636,0.0017642175176421752
2022-03-08,2,11892,0.00016818028927009755
2022-03-09,8,11841,0.0006756186132927962
2022-03-10,6,11868,0.0005055611729019212
2022-03-11,18,11119,0.0016188506160625955
2022-03-12,4,5466,0.0007317965605561653
2022-03-13,1,5778,0.00017307026652821047
2022-03-14,9,10605,0.0008486562942008486
2022-03-15,11,11152,0.0009863701578192252
2022-03-16,8,11562,0.0006919218128351496
2022-03-17,6,11534,0.0005202011444425178
2022-03-18,8,10383,0.0007704902244052779
2022-03-19,0,5483,0
2022-03-20,1,5471,0.00018278194114421494
2022-03-21,0,10449,0
2022-03-22,2,11108,0.00018005041411595248
2022-03-23,6,11797,0.0005086038823429686
2022-03-24,5,11650,0.00042918454935622315
2022-03-25,32,10473,0.0030554759858684236
2022-03-26,8,5257,0.0015217804831653035
2022-03-27,5,5616,0.0008903133903133903
2022-03-28,6,11029,0.0005440203100915768
2022-03-29,2,11181,0.00017887487702352204
2022-03-30,23,11545,0.001992204417496752
2022-03-31,20,12359,0.0016182539040375434
2022-04-01,11,10904,0.0010088041085840058
2022-04-02,18,5357,0.003360089602389397
2022-04-03,60,5497,0.010915044569765326
2022-04-04,53,10678,0.004963476306424424
2022-04-05,17,10965,0.0015503875968992248
2022-04-06,34,11315,0.0030048608042421566
2022-04-07,15,11417,0.0013138302531312954
2022-04-08,20,10363,0.001929943066679533
2022-04-09,5,5153,0.0009703085581214826
2022-04-10,14,5356,0.0026138909634055266
2022-04-11,6,10009,0.0005994604855629933
2022-04-12,5,8159,0.0006128201985537443
2022-04-13,1,6905,0.0001448225923244026
2022-04-14,1,5893,0.00016969285593076533
2022-04-15,2,5436,0.0003679175864606328
2022-04-16,3,3173,0.0009454774661203908
2022-04-17,1,3185,0.0003139717425431711
2022-04-18,2,5586,0.00035803795202291446
2022-04-19,3,6330,0.00047393364928909954
2022-04-20,8,8054,0.0009932952570151478
2022-04-21,25,9566,0.0026134225381559692
2022-04-22,8,10002,0.0007998400319936012
2022-04-23,3,5271,0.0005691519635742744
2022-04-24,16,4822,0.0033181252592285357
2022-04-25,6,8990,0.0006674082313681868
2022-04-26,5,10359,0.0004826720725938797
2022-04-27,6,9284,0.0006462731581214993
2022-04-28,2,7249,0.00027590012415505585
2022-04-29,0,1074,0
2022-04-30,1,600,0.0016666666666666668
2022-05-01,0,769,0
2022-05-02,1,1366,0.0007320644216691069
2022-05-03,2,2151,0.0009298000929800093
2022-05-04,1,2655,0.0003766478342749529
2022-05-05,0,4043,0
2022-05-06,13,7039,0.0018468532461997443
2022-05-07,5,5978,0.0008364001338240214
2022-05-08,1,5905,0.00016934801016088062
2022-05-09,11,12265,0.0008968609865470852
2022-05-10,21,13786,0.0015232844915131292
2022-05-11,16,14269,0.0011213119349639078
2022-05-12,9,13358,0.0006737535559215452
2022-05-13,7,12319,0.0005682279405795925
2022-05-14,2,5726,0.00034928396786587494
2022-05-15,0,6014,0
2022-05-16,9,12833,0.0007013169173225278
2022-05-17,4,14075,0.0002841918294849023
2022-05-18,25,14034,0.001781388057574462
2022-05-19,20,14030,0.0014255167498218105
2022-05-20,15,12212,0.0012283000327546676
2022-05-21,5,5689,0.0008788890841975743
2022-05-22,3,5797,0.0005175090564084871
2022-05-23,15,12224,0.0012270942408376963
2022-05-24,17,13503,0.0012589794860401393
2022-05-25,28,13544,0.002067336089781453
2022-05-26,14,13264,0.0010554885404101327
2022-05-27,15,11628,0.0012899896800825593
2022-05-28,2,5478,0.0003650967506389193
2022-05-29,1,5673,0.00017627357659086903
