date,count,total_count,ratio
2010-01-01,0,4244,0
2010-01-02,0,2474,0
2010-01-03,0,3252,0
2010-01-04,0,4795,0
2010-01-05,0,4982,0
2010-01-06,0,5799,0
2010-01-07,0,5919,0
2010-01-08,0,4931,0
2010-01-09,0,3572,0
2010-01-10,0,3993,0
2010-01-11,0,5638,0
2010-01-12,0,6057,0
2010-01-13,0,5979,0
2010-01-14,0,6636,0
2010-01-15,0,5724,0
2010-01-16,0,3268,0
2010-01-17,0,3672,0
2010-01-18,0,4673,0
2010-01-19,0,5853,0
2010-01-20,0,4837,0
2010-01-21,0,5674,0
2010-01-22,0,4760,0
2010-01-23,0,2862,0
2010-01-24,0,3099,0
2010-01-25,0,4735,0
2010-01-26,0,4907,0
2010-01-27,0,5216,0
2010-01-28,0,5684,0
2010-01-29,0,4513,0
2010-01-30,0,1058,0
2010-01-31,0,1250,0
2010-02-01,0,2971,0
2010-02-02,0,5309,0
2010-02-03,0,5715,0
2010-02-04,0,6381,0
2010-02-05,0,3008,0
2010-02-06,0,2067,0
2010-02-07,0,2563,0
2010-02-08,0,3711,0
2010-02-09,0,5413,0
2010-02-10,0,2775,0
2010-02-11,0,2827,0
2010-02-12,0,3224,0
2010-02-13,0,2162,0
2010-02-14,0,3564,0
2010-02-15,0,2518,0
2010-02-16,0,4142,0
2010-02-17,0,5080,0
2010-02-18,0,5873,0
2010-02-19,0,5008,0
2010-02-20,0,2753,0
2010-02-21,0,3184,0
2010-02-22,0,4308,0
2010-02-23,0,4663,0
2010-02-24,0,4578,0
2010-02-25,0,5452,0
2010-02-26,0,4570,0
2010-02-27,0,2821,0
2010-02-28,0,3304,0
2010-03-01,0,4295,0
2010-03-02,0,5369,0
2010-03-03,0,5773,0
2010-03-04,0,6442,0
2010-03-05,0,5570,0
2010-03-06,0,3696,0
2010-03-07,0,3689,0
2010-03-08,0,5415,0
2010-03-09,0,5600,0
2010-03-10,0,5412,0
2010-03-11,0,6192,0
2010-03-12,0,5582,0
2010-03-13,0,3208,0
2010-03-14,0,3703,0
2010-03-15,0,5222,0
2010-03-16,0,4304,0
2010-03-17,0,5122,0
2010-03-18,0,6511,0
2010-03-19,0,5563,0
2010-03-20,0,3035,0
2010-03-21,0,3718,0
2010-03-22,0,4682,0
2010-03-23,0,4943,0
2010-03-24,0,5243,0
2010-03-25,1,6150,0.00016260162601626016
2010-03-26,0,5189,0
2010-03-27,0,3049,0
2010-03-28,0,3573,0
2010-03-29,0,4894,0
2010-03-30,0,5096,0
2010-03-31,0,5385,0
2010-04-01,0,6258,0
2010-04-02,0,5723,0
2010-04-03,0,3696,0
2010-04-04,0,3990,0
2010-04-05,0,5626,0
2010-04-06,0,5749,0
2010-04-07,0,5640,0
2010-04-08,1,6721,0.00014878738282993602
2010-04-09,2,5746,0.0003480682213713888
2010-04-10,3,3750,0.0008
2010-04-11,4,4355,0.0009184845005740528
2010-04-12,2,5401,0.00037030179596371043
2010-04-13,1,6077,0.0001645548790521639
2010-04-14,0,6086,0
2010-04-15,2,6917,0.00028914269191846175
2010-04-16,3,6020,0.0004983388704318936
2010-04-17,0,3499,0
2010-04-18,0,4022,0
2010-04-19,0,5999,0
2010-04-20,0,5396,0
2010-04-21,0,5323,0
2010-04-22,0,6141,0
2010-04-23,0,5395,0
2010-04-24,0,3210,0
2010-04-25,3,3582,0.0008375209380234506
2010-04-26,5,5151,0.0009706853038245001
2010-04-27,3,5546,0.0005409304002884963
2010-04-28,0,5420,0
2010-04-29,0,5195,0
2010-04-30,0,3845,0
2010-05-01,0,3742,0
2010-05-02,0,3771,0
2010-05-03,0,5944,0
2010-05-04,0,6083,0
2010-05-05,0,6138,0
2010-05-06,1,6413,0.0001559332605644784
2010-05-07,0,5804,0
2010-05-08,0,4040,0
2010-05-09,0,3859,0
2010-05-10,1,3266,0.0003061849357011635
2010-05-11,0,2956,0
2010-05-12,0,3934,0
2010-05-13,0,6770,0
2010-05-14,1,6091,0.00016417665407978985
2010-05-15,0,3526,0
2010-05-16,0,4304,0
2010-05-17,0,5855,0
2010-05-18,0,6490,0
2010-05-19,0,6457,0
2010-05-20,0,5995,0
2010-05-21,0,5469,0
2010-05-22,0,3079,0
2010-05-23,0,3630,0
2010-05-24,0,5136,0
2010-05-25,0,5370,0
2010-05-26,0,5456,0
2010-05-27,0,6088,0
2010-05-28,0,5235,0
2010-05-29,0,3086,0
2010-05-30,0,3255,0
2010-05-31,0,3160,0
2010-06-01,0,5629,0
2010-06-02,0,5381,0
2010-06-03,0,6376,0
2010-06-04,4,5959,0.0006712535660345696
2010-06-05,7,3977,0.001760120693990445
2010-06-06,2,3911,0.0005113781641523907
2010-06-07,5,5821,0.0008589589417625838
2010-06-08,4,6104,0.000655307994757536
2010-06-09,4,5890,0.0006791171477079797
2010-06-10,2,6828,0.00029291154071470416
2010-06-11,2,5753,0.0003476447071093343
2010-06-12,0,3695,0
2010-06-13,0,3847,0
2010-06-14,0,5722,0
2010-06-15,0,6308,0
2010-06-16,0,6287,0
2010-06-17,0,6926,0
2010-06-18,0,5895,0
2010-06-19,0,3384,0
2010-06-20,0,3358,0
2010-06-21,0,4927,0
2010-06-22,0,5420,0
2010-06-23,0,5260,0
2010-06-24,0,5881,0
2010-06-25,0,5093,0
2010-06-26,0,3073,0
2010-06-27,0,3324,0
2010-06-28,0,4938,0
2010-06-29,0,5889,0
2010-06-30,0,5454,0
2010-07-01,0,6670,0
2010-07-02,0,5170,0
2010-07-03,0,3271,0
2010-07-04,0,3873,0
2010-07-05,0,4455,0
2010-07-06,0,6062,0
2010-07-07,0,6045,0
2010-07-08,0,6183,0
2010-07-09,0,6019,0
2010-07-10,0,3729,0
2010-07-11,0,3765,0
2010-07-12,0,5443,0
2010-07-13,0,5995,0
2010-07-14,1,6124,0.00016329196603527107
2010-07-15,0,6081,0
2010-07-16,0,4437,0
2010-07-17,0,3525,0
2010-07-18,1,3798,0.0002632964718272775
2010-07-19,0,5650,0
2010-07-20,0,5223,0
2010-07-21,1,5347,0.0001870207593042828
2010-07-22,0,5790,0
2010-07-23,3,5574,0.0005382131324004305
2010-07-24,0,3008,0
2010-07-25,0,3238,0
2010-07-26,0,4871,0
2010-07-27,0,5348,0
2010-07-28,0,5504,0
2010-07-29,0,6012,0
2010-07-30,0,5499,0
2010-07-31,0,3253,0
2010-08-01,0,4327,0
2010-08-02,0,5376,0
2010-08-03,1,5894,0.00016966406515100103
2010-08-04,0,6209,0
2010-08-05,0,6515,0
2010-08-06,0,6131,0
2010-08-07,0,3974,0
2010-08-08,0,3911,0
2010-08-09,0,6008,0
2010-08-10,3,6066,0.0004945598417408506
2010-08-11,0,5861,0
2010-08-12,0,6368,0
2010-08-13,0,5875,0
2010-08-14,0,3562,0
2010-08-15,0,3680,0
2010-08-16,0,5348,0
2010-08-17,0,5813,0
2010-08-18,0,5976,0
2010-08-19,0,5690,0
2010-08-20,0,5321,0
2010-08-21,0,3058,0
2010-08-22,0,3432,0
2010-08-23,0,4874,0
2010-08-24,0,5086,0
2010-08-25,0,5137,0
