date,count,total_count,ratio
2019-05-20,142,23507,0.006040753818011656
2019-05-21,78,24644,0.003165070605421198
2019-05-22,192,26919,0.007132508637022177
2019-05-23,149,24782,0.006012428375433782
2019-05-24,113,22599,0.00500022124872782
2019-05-25,108,10919,0.009891015660774796
2019-05-26,68,11400,0.0059649122807017545
2019-05-27,50,12479,0.004006731308598446
2019-05-28,60,21032,0.0028527957398250285
2019-05-29,106,24161,0.004387235627664418
2019-05-30,198,24346,0.008132752813603877
2019-05-31,124,22700,0.005462555066079295
2019-06-01,27,11016,0.0024509803921568627
2019-06-02,72,11674,0.006167551824567415
2019-06-03,212,22507,0.009419291775891944
2019-06-04,91,23804,0.003822886909763065
2019-06-05,125,24352,0.005133048620236531
2019-06-06,307,24058,0.012760827999002411
2019-06-07,223,22878,0.00974735553807151
2019-06-08,55,11745,0.004682843763303533
2019-06-09,22,11954,0.001840388154592605
2019-06-10,78,22593,0.003452396760058425
2019-06-11,126,23752,0.005304816436510609
2019-06-12,265,24902,0.010641715524857442
2019-06-13,279,25606,0.010895883777239709
2019-06-14,66,22435,0.0029418319589926455
2019-06-15,66,10750,0.00613953488372093
2019-06-16,64,10946,0.005846884706742189
2019-06-17,90,21693,0.004148803761582077
2019-06-18,114,23339,0.004884528043189511
2019-06-19,125,24353,0.005132837843386852
2019-06-20,214,23770,0.009002944888514934
2019-06-21,152,21545,0.007055001160362033
2019-06-22,71,9096,0.007805628847845207
2019-06-23,44,10617,0.004144296882358482
2019-06-24,109,19237,0.005666164162811249
2019-06-25,85,21639,0.003928092795415685
2019-06-26,235,23910,0.009828523630280217
2019-06-27,497,23964,0.02073944249707895
2019-06-28,717,21668,0.03309027136791582
2019-06-29,440,10656,0.04129129129129129
2019-06-30,168,11602,0.014480262023789003
2019-07-01,209,21250,0.009835294117647058
2019-07-02,176,21553,0.008165916577738597
2019-07-03,136,20881,0.006513098031703462
2019-07-04,198,13492,0.014675363178179662
2019-07-05,85,16726,0.005081908406074375
2019-07-06,33,10446,0.0031591039632395176
2019-07-07,19,10530,0.0018043684710351377
2019-07-08,111,19895,0.005579291279215883
2019-07-09,67,21682,0.0030901208375611108
2019-07-10,82,21840,0.0037545787545787547
2019-07-11,128,22584,0.005667729365922777
2019-07-12,77,21250,0.003623529411764706
