date,count,total_count,ratio
2022-02-24,2199,11924,0.1844179805434418
2022-02-25,1593,11061,0.14401952807160293
2022-02-26,921,6000,0.1535
2022-02-27,986,5624,0.17532005689900426
2022-02-28,1585,10598,0.14955652009813172
2022-03-01,1536,11329,0.1355812516550446
2022-03-02,1438,11674,0.12317971560733254
2022-03-03,1253,11240,0.11147686832740214
2022-03-04,1155,10663,0.10831848447903968
2022-03-05,652,5386,0.12105458596360935
2022-03-06,647,4779,0.13538397154216364
2022-03-07,973,9636,0.10097550850975509
2022-03-08,1101,11892,0.0925832492431887
2022-03-09,1114,11841,0.09407989190102187
2022-03-10,1101,11868,0.09277047522750252
2022-03-11,1322,11119,0.11889558413526397
2022-03-12,528,5466,0.09659714599341383
2022-03-13,561,5778,0.09709241952232607
2022-03-14,910,10605,0.0858085808580858
2022-03-15,960,11152,0.08608321377331421
2022-03-16,1035,11562,0.08951738453554749
2022-03-17,930,11534,0.08063117738859026
2022-03-18,883,10383,0.08504285851873254
2022-03-19,421,5483,0.07678278314791173
2022-03-20,449,5471,0.08206909157375251
2022-03-21,637,10449,0.0609627715570868
2022-03-22,710,11108,0.06391789701116313
2022-03-23,821,11797,0.06959396456726287
2022-03-24,830,11650,0.07124463519313305
2022-03-25,617,10473,0.05891339635252554
2022-03-26,421,5257,0.08008369792657409
2022-03-27,440,5616,0.07834757834757834
2022-03-28,765,11029,0.06936258953667604
2022-03-29,626,11181,0.0559878365083624
2022-03-30,604,11545,0.05231702035513209
2022-03-31,682,12359,0.05518245812768023
2022-04-01,479,10904,0.04392883345561262
2022-04-02,289,5357,0.053948105282807544
2022-04-03,371,5497,0.06749135892304893
2022-04-04,621,10678,0.05815695823187863
2022-04-05,487,10965,0.0444140446876425
2022-04-06,616,11315,0.05444100751215201
2022-04-07,502,11417,0.043969519138127355
2022-04-08,412,10363,0.03975682717359838
2022-04-09,273,5153,0.05297884727343295
2022-04-10,376,5356,0.070201643017177
2022-04-11,448,10009,0.04475971625537017
2022-04-12,418,8159,0.05123176859909303
2022-04-13,327,6905,0.04735698769007965
2022-04-14,214,5893,0.03631427116918378
2022-04-15,199,5436,0.03660779985283297
2022-04-16,126,3173,0.03971005357705641
2022-04-17,153,3185,0.04803767660910518
2022-04-18,172,5586,0.03079126387397064
2022-04-19,240,6330,0.037914691943127965
2022-04-20,276,8054,0.0342686863670226
2022-04-21,447,9566,0.046727994982228724
2022-04-22,372,10002,0.03719256148770246
2022-04-23,259,5271,0.049136786188579015
2022-04-24,245,4822,0.05080879303193696
2022-04-25,308,8990,0.034260289210233594
2022-04-26,322,10359,0.031084081475045853
2022-04-27,261,9284,0.02811288237828522
2022-04-28,252,7249,0.03476341564353704
2022-04-29,28,1074,0.0260707635009311
2022-04-30,14,600,0.023333333333333334
2022-05-01,27,769,0.035110533159947985
2022-05-02,36,1366,0.02635431918008785
2022-05-03,176,2151,0.08182240818224082
2022-05-04,70,2655,0.026365348399246705
2022-05-05,106,4043,0.02621815483551818
2022-05-06,220,7039,0.03125443955107259
2022-05-07,203,5978,0.03395784543325527
2022-05-08,272,5905,0.04606265876375953
2022-05-09,463,12265,0.0377496942519364
2022-05-10,340,13786,0.02466270129116495
2022-05-11,292,14269,0.020463942813091315
2022-05-12,311,13358,0.02328192843240006
2022-05-13,286,12319,0.023216170143680492
2022-05-14,206,5726,0.03597624869018512
2022-05-15,189,6014,0.03142667110076488
2022-05-16,302,12833,0.023533078781267047
2022-05-17,269,14075,0.01911190053285968
2022-05-18,327,14034,0.023300555793073965
2022-05-19,367,14030,0.026158232359230222
2022-05-20,269,12212,0.022027513920733703
2022-05-21,128,5689,0.0224995605554579
2022-05-22,162,5797,0.027945489046058307
2022-05-23,330,12224,0.02699607329842932
2022-05-24,282,13503,0.020884247944901135
2022-05-25,347,13544,0.025620200826934437
2022-05-26,213,13264,0.01605850422195416
2022-05-27,207,11628,0.01780185758513932
2022-05-28,123,5478,0.022453450164293537
2022-05-29,92,5673,0.01621716904635995
2022-05-30,186,7167,0.02595228128924236
2022-05-31,280,12061,0.023215322112594312
2022-06-01,258,13915,0.01854114265181459
2022-06-02,220,13549,0.016237360690825892
2022-06-03,259,11936,0.021699061662198392
2022-06-04,95,5604,0.016952177016416846
2022-06-05,154,5835,0.026392459297343615
2022-06-06,235,11740,0.02001703577512777
2022-06-07,185,13154,0.014064162992245706
2022-06-08,157,13277,0.011824960457934774
2022-06-09,167,13744,0.012150756693830035
2022-06-10,191,12265,0.015572768039135753
2022-06-11,94,5850,0.016068376068376067
2022-06-12,88,6066,0.014507088691064951
2022-06-13,166,11997,0.0138367925314662
2022-06-14,186,12995,0.01431319738360908
2022-06-15,236,13424,0.017580452920143028
2022-06-16,234,13509,0.017321785476349102
2022-06-17,176,11848,0.014854827819041188
2022-06-18,89,5534,0.016082399710878208
2022-06-19,118,5530,0.021338155515370705
2022-06-20,136,8772,0.015503875968992248
2022-06-21,174,12643,0.01376255635529542
2022-06-22,184,12359,0.0148879359171454
2022-06-23,180,13444,0.01338887235941684
2022-06-24,113,12392,0.009118786313750807
2022-06-25,96,5409,0.01774819744869662
2022-06-26,210,5495,0.03821656050955414
2022-06-27,227,11487,0.019761469487246452
2022-06-28,197,12888,0.015285536933581626
2022-06-29,1215,13959,0.08704061895551257
2022-06-30,275,13450,0.020446096654275093
2022-07-01,191,11577,0.016498229247646195
2022-07-02,76,5283,0.014385765663448798
2022-07-03,122,5211,0.02341201304931875
2022-07-04,117,6586,0.017764955967203157
