publish_date,title,media_name
2019-05-20,Putin Has No Plans to Congratulate Zelenskiy on Inauguration: Kremlin,usnews.com
2019-05-20,Putin has no plans to congratulate Zelenskiy on inauguration,reuters.com
2019-05-20,Putin has no plans to congratulate Zelenskiy on inauguration: Kremlin,reuters.com
2019-05-20,Putin has no plans to congratulate Zelenskiy on inauguration,reuters.com
2019-05-20,Putin has no plans to congratulate Zelenskiy on inauguration: Kremlin,reuters.com
2019-05-20,Michael Cohen hoped to pull off his own ‘billion dollar’ real estate deal after giving Trump Tower Moscow penthouse to Putin,rawstory.com
2019-05-20,Democrats demand review of Putin ally Oleg Deripaska's big new investment in Mitch McConnell's home state,alternet.org
2019-05-20,"Kremlin says U.S. ""mood swings"" make it impossible to predict next Trump-Putin meeting",newsweek.com
2019-05-21,"Putin, Merkel and Macron discuss Ukraine in phone call",reuters.com
2019-05-21,"What the Mueller report tells us about Putin, Russia and Trump's election",thehill.com
2019-05-21,Questions Remain About Putin's Request for a Back Channel to the Trump Transition,time.com
2019-05-21,"Putin, Merkel and Macron discuss Ukraine in phone call",reuters.com
2019-05-21,"Putin, Merkel and Macron discuss Ukraine in phone call: Kremlin",reuters.com
2019-05-21,"Putin, Merkel and Macron discuss Ukraine in phone call",reuters.com
2019-05-21,‘Are these people godless?’ Putin asks as Russian protesters denounce cathedral plans,latimes.com
2019-05-21,"Putin, Merkel and Macron Discuss Ukraine in Phone Call: Kremlin",usnews.com
2019-05-21,"Putin, Merkel and Macron discuss Ukraine in phone call",reuters.com
2019-05-21,Vladimir Putin's rumoured lover 'delivers twins in Moscow clinic',thesun.co.uk
2019-05-21,‘Are these people godless?’ Putin asks as Russian protesters denounce cathedral plans,latimes.com
2019-05-21,‘Are these people godless?’ Putin asks as Russian protesters denounce cathedral plans,latimes.com
2019-05-21,"Vladimir Putin's rumoured lover, 36, gives birth to twins in guarded clinic, Russian reports claim",dailymail.co.uk
2019-05-22,Putin orders 76 new Su-57 stealth fighters in a desperate attempt to rival the US,businessinsider.com
2019-05-22,BBC - BBC Two announces brand new chat show hosted by Vladimir Putin,bbc.co.uk
2019-05-22,Putin ran circles around Trump during their first policy meeting. And the scheduled 45-minute affair ended up lasting more than 2 hours.,businessinsider.com
2019-05-22,"'Very dangerous': Putin, Trump want to weaken the European Union, top official says",cnbc.com
2019-05-22,"Putin put Trump at disadvantage, Tillerson reportedly tells House panel",marketwatch.com
2019-05-22,Rex Tillerson: Trump Was Outmatched by Putin in Key Meeting,newsmax.com
2019-05-22,Tillerson told lawmakers Putin was more prepared than Trump in Germany meeting,cnn.com
2019-05-22,Tillerson told lawmakers Putin was more prepared than Trump in Germany meeting,cnn.com
2019-05-22,"Putin out-prepared Trump in key meeting, Rex Tillerson told House panel",washingtonpost.com
2019-05-22,Russian broadcaster hits out at BBC show parodying Putin,theguardian.com
2019-05-22,"Top European official accuses Trump, Putin of trying to weaken EU",thehill.com
2019-05-22,"Putin out-prepared Trump in meeting, Tillerson told House panel",mercurynews.com
2019-05-22,Tillerson Said Putin ‘Out-Prepared’ Trump,politicalwire.com
2019-05-22,Rex Tillerson revealed Trump made a complete fool of himself during Putin meeting,rawstory.com
2019-05-22,"Putin put Trump at disadvantage, Tillerson reportedly tells House panel",marketwatch.com
2019-05-22,"Donald Trump and Vladimir Putin are working to weaken Europe, official says",newsweek.com
2019-05-22,CGI version of Putin to host BBC chat show,independent.co.uk
2019-05-22,"Tucker Carlson Pushes Putin’s BS 5G Network Conspiracy Theory, Gets Shut Down by Fox Doc",thedailybeast.com
2019-05-22,Spoof Talk Show Fronted by an Animated Vladimir Putin Coming to the BBC,variety.com
2019-05-23,Putin awards medal to FIFA president Infantino,kansascity.com
2019-05-23,Tillerson: Trump Was Unprepared for First Meeting with Putin,slate.com
2019-05-23,Trump again calls Tillerson 'dumb as a rock' after he's quoted saying Putin 'out-prepared' him,abcnews.go.com
2019-05-23,"Trump trashes Tillerson ""dumb as a rock"" over claims about Putin meeting",cbsnews.com
2019-05-23,"Trump trashes Tillerson ""dumb as a rock"" over claims about Putin meeting",cbsnews.com
2019-05-23,Trump 'less prepared' than Putin for key meeting: Tillerson,indiatimes.com
2019-05-23,Putin awards medal to FIFA president Infantino,washingtonpost.com
2019-05-23,"Vladimir Putin outmaneuvered President Trump, Rex Tillerson claims",salon.com
2019-05-23,"Trump calls Tillerson ""dumb as a rock"" over claims about Putin meeting",cbsnews.com
2019-05-23,Trump: Tillerson made up story about Putin outplaying me in Hamburg,hotair.com
2019-05-23,‘Vladimir Putin’ Talk Show in U.K. Prompts Sharp Intake of Breath in Russia,nytimes.com
2019-05-23,Putin awards medal to FIFA president Infantino,usatoday.com
2019-05-23,Putin honours FIFA's Infantino with state medal over 2018 World Cup,reuters.com
2019-05-23,Trump Fumes Over Rex Tillerson's Claim That Putin Out-Prepared Him,huffpost.com
2019-05-23,"Trump denies Putin embarrassed him at their first meeting, calls his former top diplomat 'dumb as a rock'",businessinsider.com
2019-05-23,Rex Tillerson Says Putin Outmaneuvered Trump at Key Meeting Because of ‘Discrepancy in Preparation’: WaPo,thedailybeast.com
2019-05-23,"""Dumb as a rock"": Trump fires back at Tillerson over Putin preparedness claims",axios.com
