date,count,total_count,ratio
2024-10-01,10,2717,0.00368052999631947
2024-10-02,18,2705,0.006654343807763401
2024-10-03,16,2646,0.006046863189720333
2024-10-04,9,2541,0.0035419126328217238
2024-10-05,39,1544,0.025259067357512953
2024-10-06,52,1547,0.03361344537815126
2024-10-07,52,2749,0.018915969443433975
2024-10-08,25,2766,0.009038322487346349
2024-10-09,34,2738,0.01241782322863404
2024-10-10,50,2813,0.017774617845716316
2024-10-11,27,2503,0.010787055533359968
2024-10-12,9,1465,0.0061433447098976105
2024-10-13,7,1518,0.00461133069828722
2024-10-14,43,2710,0.015867158671586716
2024-10-15,31,2776,0.0111671469740634
2024-10-16,32,2790,0.011469534050179211
2024-10-17,62,2794,0.02219040801717967
2024-10-18,28,2552,0.0109717868338558
2024-10-19,21,1503,0.013972055888223553
2024-10-20,20,1545,0.012944983818770227
2024-10-21,28,2762,0.010137581462708182
2024-10-22,54,2713,0.019904165130851456
2024-10-23,64,2691,0.023782980304719436
2024-10-24,83,2838,0.029245947850599013
2024-10-25,49,2651,0.01848359109769898
2024-10-26,23,1467,0.015678254942058625
2024-10-27,21,1513,0.013879709187045605
2024-10-28,35,2661,0.013152950018789928
2024-10-29,33,2664,0.012387387387387387
2024-10-30,33,2758,0.011965192168237854
2024-10-31,27,2680,0.010074626865671642
2024-11-01,17,2537,0.006700827749310209
2024-11-02,6,1524,0.003937007874015748
2024-11-03,10,1531,0.006531678641410843
2024-11-04,22,2767,0.00795084929526563
2024-11-05,23,2671,0.008611007113440658
2024-11-06,68,2740,0.024817518248175182
2024-11-07,30,2777,0.010803024846957148
2024-11-08,38,2483,0.015304067660088603
2024-11-09,15,1568,0.009566326530612245
2024-11-10,13,1625,0.008
2024-11-11,48,2810,0.01708185053380783
2024-11-12,34,2858,0.011896431070678797
2024-11-13,55,2633,0.020888720091150777
2024-11-14,107,2735,0.03912248628884826
2024-11-15,187,2676,0.06988041853512705
2024-11-16,151,1585,0.09526813880126182
2024-11-17,123,1519,0.08097432521395655
2024-11-18,175,2885,0.060658578856152515
2024-11-19,113,2938,0.038461538461538464
2024-11-20,66,2890,0.022837370242214532
2024-11-21,177,2984,0.05931635388739946
2024-11-22,189,2789,0.06776622445320904
2024-11-23,28,1692,0.016548463356973995
2024-11-24,286,2416,0.1183774834437086
2024-11-25,341,2794,0.1220472440944882
2024-11-26,187,2823,0.06624158696422246
2024-11-27,49,2888,0.016966759002770084
2024-11-28,85,3066,0.027723418134377037
2024-11-29,35,2895,0.012089810017271158
2024-11-30,11,1702,0.006462984723854289
2024-12-01,77,2389,0.032231059020510676
2024-12-02,65,2823,0.023025150549061284
2024-12-03,28,2753,0.010170722847802398
2024-12-04,22,2883,0.007630939993062782
2024-12-05,29,2882,0.010062456627342124
2024-12-06,69,2778,0.024838012958963283
2024-12-07,71,1646,0.043134872417982986
2024-12-08,58,1734,0.03344867358708189
2024-12-09,84,2814,0.029850746268656716
2024-12-10,31,2877,0.010775112964893988
2024-12-11,62,2904,0.02134986225895317
2024-12-12,21,2914,0.007206588881262869
2024-12-13,16,2703,0.0059193488716241215
2024-12-14,16,1450,0.011034482758620689
2024-12-15,4,1467,0.0027266530334014998
2024-12-16,33,2873,0.01148625130525583
2024-12-17,20,2934,0.006816632583503749
2024-12-18,6,2908,0.0020632737276478678
2024-12-19,79,2827,0.02794481782808631
2024-12-20,28,2575,0.01087378640776699
2024-12-21,12,1379,0.00870195794053662
2024-12-22,37,1631,0.022685469037400367
2024-12-23,46,2564,0.01794071762870515
2024-12-24,37,2252,0.016429840142095916
2024-12-25,2,1329,0.0015048908954100827
2024-12-26,6,1545,0.003883495145631068
2024-12-27,9,1836,0.004901960784313725
2024-12-28,7,1491,0.004694835680751174
2024-12-29,2,1479,0.001352265043948614
2024-12-30,6,2179,0.0027535566773749425
2024-12-31,12,1751,0.006853226727584237
2025-01-01,6,1446,0.004149377593360996
2025-01-02,13,1571,0.008274984086569064
2025-01-03,22,1975,0.011139240506329114
2025-01-04,32,1418,0.022566995768688293
2025-01-05,27,1464,0.018442622950819672
2025-01-06,28,2083,0.01344215074411906
2025-01-07,12,2085,0.0057553956834532375
2025-01-08,21,2658,0.007900677200902935
2025-01-09,9,2758,0.0032632342277012327
2025-01-10,30,2655,0.011299435028248588
2025-01-11,21,1396,0.01504297994269341
2025-01-12,57,1456,0.03914835164835165
2025-01-13,55,2778,0.019798416126709864
2025-01-14,59,2805,0.021033868092691622
2025-01-15,30,2843,0.010552233556102708
2025-01-16,13,2767,0.0046982291290206
2025-01-17,14,2617,0.005349636988918609
2025-01-18,20,1459,0.013708019191226868
2025-01-19,14,1552,0.00902061855670103
2025-01-20,27,2783,0.009701760689902982
2025-01-21,44,2810,0.015658362989323844
2025-01-22,21,2928,0.007172131147540984
2025-01-23,16,2816,0.005681818181818182
2025-01-24,66,2567,0.025710946630307752
2025-01-25,26,1471,0.017675050985723997
2025-01-26,9,1496,0.006016042780748663
2025-01-27,15,2629,0.005705591479650057
2025-01-28,27,2771,0.009743774810537712
2025-01-29,19,2699,0.007039644312708411
2025-01-30,19,2750,0.006909090909090909
2025-01-31,7,2618,0.00267379679144385
2025-02-01,12,1487,0.008069939475453935
2025-02-02,5,1534,0.003259452411994785
2025-02-03,19,2798,0.006790564689063617
2025-02-04,13,2932,0.004433833560709414
2025-02-05,31,2857,0.010850542527126356
2025-02-06,18,2785,0.006463195691202872
2025-02-07,18,2633,0.006836308393467528
2025-02-08,1,1456,0.0006868131868131869
2025-02-09,7,1525,0.0045901639344262295
2025-02-10,65,2841,0.02287926786342837
2025-02-11,33,2865,0.011518324607329843
2025-02-12,13,2879,0.0045154567558179926
2025-02-13,15,3027,0.004955401387512388
2025-02-14,24,2739,0.008762322015334063
2025-02-15,5,1535,0.003257328990228013
2025-02-16,9,1600,0.005625
2025-02-17,60,2954,0.020311442112389978
2025-02-18,19,2835,0.006701940035273368
2025-02-19,14,3053,0.004585653455617425
2025-02-20,16,3057,0.005233889434085705
2025-02-21,64,2761,0.023180007243752264
2025-02-22,18,1532,0.01174934725848564
2025-02-23,10,1636,0.006112469437652812
2025-02-24,14,2832,0.0049435028248587575
2025-02-25,68,2941,0.023121387283236993
2025-02-26,142,3013,0.047129107202124126
2025-02-27,29,3129,0.009268136784915308
2025-02-28,61,2803,0.02176239743132358
2025-03-01,70,1532,0.04569190600522193
2025-03-02,12,1559,0.007697241821680564
2025-03-03,20,2871,0.006966213862765587
2025-03-04,20,2861,0.006990562740300594
2025-03-05,12,2865,0.004188481675392671
2025-03-06,7,2793,0.002506265664160401
2025-03-07,34,2687,0.012653516933382954
2025-03-08,1,1542,0.0006485084306095979
2025-03-09,52,1628,0.03194103194103194
2025-03-10,200,2888,0.06925207756232687
2025-03-11,153,3095,0.0494345718901454
2025-03-12,151,2971,0.05082463816896668
2025-03-13,83,3063,0.027097616715638262
2025-03-14,124,2791,0.044428520243640274
2025-03-15,117,1671,0.07001795332136446
2025-03-16,90,1693,0.05316007088009451
2025-03-17,147,3348,0.04390681003584229
2025-03-18,95,3000,0.03166666666666667
2025-03-19,101,2922,0.03456536618754278
2025-03-20,63,2932,0.021487039563437928
2025-03-21,44,2782,0.015815959741193385
2025-03-22,49,1658,0.029553679131483716
2025-03-23,65,1601,0.04059962523422861
2025-03-24,55,2931,0.018764926646195838
2025-03-25,45,2923,0.015395141977420458
