date,count,total_count,ratio
2022-01-01,3,1094,0.002742230347349177
2022-01-02,2,1263,0.001583531274742676
2022-01-03,15,2256,0.006648936170212766
2022-01-04,19,2529,0.007512850929221036
2022-01-05,11,2814,0.0039090262970859985
2022-01-06,11,2700,0.004074074074074074
2022-01-07,8,2593,0.0030852294639413806
2022-01-08,2,1450,0.001379310344827586
2022-01-09,8,1464,0.00546448087431694
2022-01-10,36,2660,0.013533834586466165
2022-01-11,59,2843,0.02075272599366866
2022-01-12,54,2913,0.018537590113285273
2022-01-13,31,2979,0.010406176569318564
2022-01-14,106,2703,0.0392156862745098
2022-01-15,74,1511,0.04897418927862343
2022-01-16,21,1460,0.014383561643835616
2022-01-17,9,2842,0.0031667839549612948
2022-01-18,3,2739,0.001095290251916758
2022-01-19,7,2961,0.002364066193853428
2022-01-20,8,2853,0.0028040658955485456
2022-01-21,11,2714,0.0040530582166543845
2022-01-22,4,1449,0.0027605244996549345
2022-01-23,14,1387,0.010093727469358327
2022-01-24,63,2237,0.028162717925793473
2022-01-25,31,2678,0.01157580283793876
2022-01-26,15,2760,0.005434782608695652
2022-01-27,25,2771,0.009022013713460845
2022-01-28,5,2450,0.0020408163265306124
2022-01-29,4,1428,0.0028011204481792717
2022-01-30,14,1405,0.0099644128113879
2022-01-31,8,2734,0.002926115581565472
2022-02-01,9,2839,0.0031701303275801338
2022-02-02,17,2951,0.0057607590647238225
2022-02-03,26,2793,0.009308986752595776
2022-02-04,31,2665,0.011632270168855536
2022-02-05,12,1513,0.007931262392597489
2022-02-06,3,1375,0.002181818181818182
2022-02-07,120,2746,0.043699927166788055
2022-02-08,242,2860,0.08461538461538462
2022-02-09,156,2944,0.05298913043478261
2022-02-10,27,2849,0.009477009477009477
2022-02-11,39,2619,0.014891179839633447
2022-02-12,6,609,0.009852216748768473
2022-02-13,4,205,0.01951219512195122
2022-02-14,5,1343,0.0037230081906180195
2022-02-15,9,2657,0.003387278885961611
2022-02-16,9,2732,0.003294289897510981
2022-02-17,3,2732,0.0010980966325036604
2022-02-18,28,2433,0.011508425811755036
2022-02-19,20,1452,0.013774104683195593
2022-02-20,8,1463,0.005468215994531784
2022-02-21,45,2633,0.017090770983668818
2022-02-22,18,2689,0.00669393826701376
2022-02-23,25,2892,0.008644536652835409
2022-02-24,8,3197,0.0025023459493274947
2022-02-25,14,2871,0.004876349703935911
2022-02-26,5,1861,0.0026867275658248252
2022-02-27,16,1835,0.008719346049046322
2022-02-28,5,2850,0.0017543859649122807
2022-03-01,3,3033,0.0009891196834817012
2022-03-02,9,3121,0.0028836911246395386
2022-03-03,6,3017,0.0019887305270135896
2022-03-04,4,2786,0.0014357501794687725
2022-03-05,0,1617,0
2022-03-06,3,1486,0.002018842530282638
2022-03-07,3,2753,0.0010897203051216855
2022-03-08,7,2817,0.0024849130280440185
2022-03-09,8,3056,0.002617801047120419
2022-03-10,5,2716,0.001840942562592047
2022-03-11,7,2538,0.0027580772261623326
2022-03-12,1,1570,0.0006369426751592356
2022-03-13,4,1616,0.0024752475247524753
2022-03-14,9,2849,0.003159003159003159
2022-03-15,5,2746,0.001820830298616169
2022-03-16,11,2819,0.0039020929407591345
2022-03-17,3,2620,0.0011450381679389313
2022-03-18,2,2499,0.0008003201280512205
2022-03-19,3,1421,0.00211118930330753
2022-03-20,1,1453,0.0006882312456985547
2022-03-21,6,2714,0.002210759027266028
2022-03-22,4,2826,0.0014154281670205238
2022-03-23,7,2815,0.002486678507992895
2022-03-24,3,2947,0.0010179843909060061
2022-03-25,3,2519,0.0011909487892020642
2022-03-26,5,1598,0.0031289111389236545
2022-03-27,62,1443,0.042966042966042964
2022-03-28,28,2654,0.010550113036925395
2022-03-29,14,2790,0.005017921146953405
2022-03-30,6,2748,0.002183406113537118
2022-03-31,22,2751,0.007997091966557615
2022-04-01,3,2685,0.0011173184357541898
2022-04-02,0,1491,0
2022-04-03,0,1471,0
2022-04-04,24,2595,0.009248554913294798
2022-04-05,18,2818,0.0063875088715401
2022-04-06,10,2750,0.0036363636363636364
2022-04-07,18,2664,0.006756756756756757
2022-04-08,11,2513,0.004377238360525269
2022-04-09,4,1422,0.0028129395218002813
2022-04-10,3,1453,0.0020646937370956643
2022-04-11,6,2566,0.002338269680436477
2022-04-12,5,2520,0.001984126984126984
2022-04-13,9,2560,0.003515625
2022-04-14,6,2594,0.002313030069390902
2022-04-15,6,2485,0.002414486921529175
2022-04-16,3,1562,0.0019206145966709346
2022-04-17,2,1480,0.0013513513513513514
2022-04-18,7,2427,0.00288421920065925
2022-04-19,10,2676,0.0037369207772795215
2022-04-20,4,2677,0.0014942099364960778
2022-04-21,14,2738,0.005113221329437546
2022-04-22,3,1954,0.0015353121801432957
2022-04-23,0,1527,0
2022-04-24,0,1191,0
2022-04-25,0,1611,0
2022-04-26,5,2320,0.0021551724137931034
2022-04-27,1,1529,0.0006540222367560497
2022-04-28,5,2519,0.001984914648670107
2022-04-29,0,33,0
2022-04-30,1,22,0.045454545454545456
2022-05-01,0,14,0
2022-05-02,0,21,0
2022-05-03,0,49,0
2022-05-04,1,113,0.008849557522123894
2022-05-05,0,356,0
2022-05-06,6,1350,0.0044444444444444444
2022-05-07,1,1505,0.000664451827242525
2022-05-08,4,1400,0.002857142857142857
2022-05-09,4,2558,0.001563721657544957
2022-05-10,18,2631,0.0068415051311288486
2022-05-11,8,4698,0.0017028522775649213
2022-05-12,2,2545,0.0007858546168958742
2022-05-13,5,2432,0.002055921052631579
2022-05-14,2,1380,0.0014492753623188406
2022-05-15,2,1464,0.001366120218579235
2022-05-16,3,2441,0.0012290045063498567
2022-05-17,23,2496,0.00921474358974359
2022-05-18,17,2416,0.007036423841059603
2022-05-19,60,2444,0.024549918166939442
2022-05-20,23,2328,0.009879725085910653
2022-05-21,58,1299,0.044649730561970746
2022-05-22,41,1361,0.030124908155767818
2022-05-23,10,2542,0.003933910306845004
2022-05-24,14,2501,0.005597760895641743
2022-05-25,7,2525,0.002772277227722772
2022-05-26,6,2513,0.00238758456028651
2022-05-27,2,2251,0.000888494002665482
2022-05-28,0,1250,0
2022-05-29,26,1271,0.020456333595594022
2022-05-30,5,2467,0.002026753141467369
2022-05-31,11,2470,0.004453441295546558
2022-06-01,4,2011,0.001989060169070114
2022-06-02,4,2266,0.00176522506619594
2022-06-03,11,2167,0.005076142131979695
2022-06-04,4,1295,0.003088803088803089
2022-06-05,0,1311,0
2022-06-06,1,2213,0.00045187528242205153
2022-06-07,8,2396,0.00333889816360601
2022-06-08,15,2478,0.006053268765133172
2022-06-09,8,2300,0.0034782608695652175
2022-06-10,1,2170,0.0004608294930875576
2022-06-11,8,1247,0.006415396952686447
2022-06-12,0,1306,0
2022-06-13,2,1909,0.0010476689366160294
2022-06-14,2,2395,0.0008350730688935282
2022-06-15,8,2382,0.0033585222502099076
2022-06-16,3,2468,0.0012155591572123178
2022-06-17,11,2319,0.004743423889607589
2022-06-18,31,1293,0.02397525135344161
2022-06-19,8,1260,0.006349206349206349
2022-06-20,7,2464,0.002840909090909091
2022-06-21,14,2401,0.0058309037900874635
2022-06-22,5,2683,0.0018635855385762206
2022-06-23,6,2670,0.0022471910112359553
2022-06-24,0,2354,0
2022-06-25,15,1240,0.012096774193548387
2022-06-26,1,1338,0.0007473841554559044
2022-06-27,4,2467,0.0016214025131738954
2022-06-28,23,2431,0.009461127108185932
2022-06-29,7,2498,0.0028022417934347476
2022-06-30,0,2472,0
2022-07-01,3,2325,0.0012903225806451613
2022-07-02,0,1314,0
2022-07-03,0,1295,0
2022-07-04,1,2329,0.00042936882782310007
2022-07-05,3,2368,0.001266891891891892
2022-07-06,9,2414,0.003728251864125932
2022-07-07,10,2316,0.004317789291882556
2022-07-08,0,2109,0
2022-07-09,1,1245,0.0008032128514056225
2022-07-10,9,1228,0.007328990228013029
2022-07-11,14,2219,0.006309148264984227
2022-07-12,8,2430,0.0032921810699588477
2022-07-13,1,2436,0.00041050903119868636
2022-07-14,2,2413,0.0008288437629506838
2022-07-15,1,2235,0.00044742729306487697
2022-07-16,1,1223,0.0008176614881439084
2022-07-17,1,1188,0.0008417508417508417
2022-07-18,0,2353,0
2022-07-19,2,2441,0.0008193363375665711
2022-07-20,4,2383,0.001678556441460344
2022-07-21,3,2514,0.0011933174224343676
2022-07-22,6,2249,0.0026678523788350376
2022-07-23,13,1288,0.010093167701863354
2022-07-24,9,1289,0.0069821567106283944
2022-07-25,6,2298,0.0026109660574412533
2022-07-26,4,2510,0.0015936254980079682
2022-07-27,4,2545,0.0015717092337917485
2022-07-28,1,2467,0.00040535062829347385
2022-07-29,5,2311,0.0021635655560363477
2022-07-30,4,1300,0.003076923076923077
2022-07-31,12,1226,0.009787928221859706
2022-08-01,16,2374,0.006739679865206402
2022-08-02,27,2333,0.011573081868838405
2022-08-03,25,2407,0.01038637307852098
2022-08-04,0,2403,0
2022-08-05,2,2193,0.0009119927040583675
2022-08-06,1,1292,0.0007739938080495357
2022-08-07,0,1243,0
2022-08-08,1,2397,0.00041718815185648727
2022-08-09,9,2458,0.003661513425549227
2022-08-10,3,2405,0.0012474012474012475
2022-08-11,4,2462,0.0016246953696181965
2022-08-12,4,2279,0.0017551557700745941
2022-08-13,1,1259,0.0007942811755361397
2022-08-14,0,1259,0
2022-08-15,3,1793,0.0016731734523145567
2022-08-16,2,2258,0.0008857395925597874
2022-08-17,2,2392,0.0008361204013377926
2022-08-18,1,2262,0.0004420866489832007
2022-08-19,7,2043,0.0034263338228095936
2022-08-20,3,1189,0.002523128679562658
2022-08-21,9,1180,0.007627118644067797
2022-08-22,11,2157,0.005099675475197033
2022-08-23,4,2208,0.0018115942028985507
2022-08-24,11,2370,0.004641350210970464
2022-08-25,26,2278,0.01141352063213345
2022-08-26,54,2123,0.025435704192180875
2022-08-27,93,1260,0.07380952380952381
2022-08-28,31,1205,0.025726141078838173
2022-08-29,31,2279,0.013602457218078104
2022-08-30,23,2450,0.009387755102040816
2022-08-31,14,2568,0.005451713395638629
2022-09-01,23,2438,0.009433962264150943
2022-09-02,17,2346,0.007246376811594203
2022-09-03,9,1240,0.007258064516129033
2022-09-04,18,1257,0.014319809069212411
2022-09-05,38,2295,0.016557734204793027
2022-09-06,33,2361,0.01397712833545108
2022-09-07,29,2377,0.012200252419015565
2022-09-08,20,2591,0.007719027402547279
2022-09-09,17,2280,0.007456140350877193
2022-09-10,9,1206,0.007462686567164179
2022-09-11,7,1323,0.005291005291005291
2022-09-12,10,2452,0.004078303425774877
2022-09-13,24,2524,0.009508716323296355
2022-09-14,5,2601,0.0019223375624759708
2022-09-15,9,2624,0.003429878048780488
2022-09-16,1,2373,0.00042140750105351877
2022-09-17,4,1313,0.0030464584920030465
2022-09-18,37,1285,0.028793774319066146
2022-09-19,9,2379,0.0037831021437578815
2022-09-20,4,2397,0.001668752607425949
2022-09-21,0,2622,0
2022-09-22,2,2408,0.0008305647840531562
2022-09-23,0,2352,0
2022-09-24,0,1254,0
2022-09-25,3,1314,0.00228310502283105
2022-09-26,7,2387,0.002932551319648094
2022-09-27,44,2602,0.016910069177555727
2022-09-28,16,2522,0.006344171292624901
2022-09-29,6,2571,0.002333722287047841
2022-09-30,58,2473,0.023453295592397897
2022-10-01,4,1367,0.002926115581565472
2022-10-02,21,1291,0.016266460108443067
2022-10-03,12,2337,0.005134788189987163
2022-10-04,4,2516,0.001589825119236884
2022-10-05,13,2588,0.005023183925811438
2022-10-06,1,2597,0.0003850596842510589
2022-10-07,0,2323,0
2022-10-08,0,1268,0
2022-10-09,0,1391,0
2022-10-10,2,2697,0.0007415647015202076
2022-10-11,0,2680,0
2022-10-12,4,2573,0.001554605518849592
2022-10-13,2,2604,0.0007680491551459293
2022-10-14,2,2559,0.0007815552950371239
2022-10-15,2,1370,0.00145985401459854
2022-10-16,1,1359,0.0007358351729212656
2022-10-17,7,2622,0.002669717772692601
2022-10-18,3,2699,0.0011115227862171174
2022-10-19,2,2775,0.0007207207207207207
2022-10-20,3,2614,0.0011476664116296864
2022-10-21,3,2482,0.0012087026591458502
2022-10-22,1,1341,0.0007457121551081282
2022-10-23,0,1350,0
2022-10-24,4,2574,0.001554001554001554
2022-10-25,1,2558,0.00039093041438623924
2022-10-26,4,2597,0.0015402387370042356
2022-10-27,3,2580,0.0011627906976744186
2022-10-28,18,2443,0.007367990176013099
2022-10-29,3,1383,0.0021691973969631237
2022-10-30,0,1369,0
2022-10-31,2,2660,0.0007518796992481203
2022-11-01,2,2614,0.0007651109410864575
2022-11-02,1,2662,0.0003756574004507889
2022-11-03,7,2652,0.0026395173453996985
2022-11-04,16,2551,0.006272050176401411
2022-11-05,2,1284,0.001557632398753894
2022-11-06,1,1352,0.0007396449704142012
2022-11-07,3,2545,0.0011787819253438114
2022-11-08,13,2683,0.004845322400298174
2022-11-09,12,2765,0.00433996383363472
2022-11-10,4,2664,0.0015015015015015015
2022-11-11,5,2527,0.0019786307874950534
2022-11-12,2,1403,0.0014255167498218105
2022-11-13,2,1410,0.0014184397163120568
2022-11-14,2,2624,0.0007621951219512195
2022-11-15,1,2700,0.00037037037037037035
2022-11-16,7,2736,0.0025584795321637425
2022-11-17,9,2631,0.0034207525655644243
2022-11-18,5,2503,0.001997602876548142
2022-11-19,0,1347,0
2022-11-20,2,1401,0.0014275517487508922
2022-11-21,10,2704,0.0036982248520710057
2022-11-22,9,2851,0.003156787092248334
2022-11-23,9,2752,0.0032703488372093025
2022-11-24,7,2739,0.002555677254472435
2022-11-25,14,2494,0.0056134723336006415
2022-11-26,2,1393,0.0014357501794687725
2022-11-27,1,1431,0.0006988120195667365
2022-11-28,9,2655,0.003389830508474576
2022-11-29,10,2663,0.003755163349605708
2022-11-30,1,2175,0.0004597701149425287
2022-12-01,21,2052,0.01023391812865497
2022-12-02,42,2075,0.020240963855421686
2022-12-03,18,1333,0.01350337584396099
2022-12-04,4,1677,0.002385211687537269
2022-12-05,58,2596,0.02234206471494607
2022-12-06,14,2578,0.005430566330488751
2022-12-07,3,2644,0.0011346444780635401
2022-12-08,3,2581,0.001162340178225494
2022-12-09,7,2481,0.0028214429665457475
2022-12-10,3,1430,0.002097902097902098
2022-12-11,6,1393,0.004307250538406317
2022-12-12,7,2530,0.002766798418972332
2022-12-13,2,2624,0.0007621951219512195
