date,count,total_count,ratio
2022-05-20,841,512037,0.0016424594316426352
2022-05-21,483,349260,0.0013829238962377599
2022-05-22,511,337764,0.0015128906573820774
2022-05-23,1041,507270,0.002052161570761133
2022-05-24,696,543482,0.0012806311892574179
2022-05-25,574,540198,0.0010625733527336273
2022-05-26,391,520106,0.0007517698315343411
2022-05-27,447,491142,0.0009101237523974736
2022-05-28,337,342973,0.0009825846349421092
2022-05-29,475,336145,0.0014130806645941483
2022-05-30,711,483980,0.0014690689697921403
2022-05-31,845,527832,0.001600888161384683
2022-06-01,674,547791,0.0012303962642686718
2022-06-02,512,518292,0.0009878601251804002
2022-06-03,717,486304,0.0014743863920510627
2022-06-04,561,329713,0.0017014797718015364
2022-06-05,288,316177,0.0009108821957321374
2022-06-06,662,476115,0.0013904203816304883
2022-06-07,662,544756,0.001215222962206933
2022-06-08,537,540286,0.000993918036003154
2022-06-09,570,532531,0.0010703602231607174
2022-06-10,547,505097,0.0010829603026745358
2022-06-11,252,340389,0.0007403294466037387
2022-06-12,370,333717,0.001108723858838477
2022-06-13,409,499054,0.0008195505897157422
2022-06-14,377,535332,0.0007042358760544858
2022-06-15,735,541464,0.0013574309649394974
2022-06-16,934,526212,0.0017749500201439724
2022-06-17,597,490679,0.0012166813741774155
2022-06-18,379,335145,0.0011308538095451224
2022-06-19,341,331216,0.001029539635766388
2022-06-20,305,492330,0.0006195031787622124
2022-06-21,620,522781,0.0011859650599390567
2022-06-22,824,538279,0.0015308046570644592
2022-06-23,495,537491,0.0009209456530434928
2022-06-24,552,491907,0.0011221633357524899
2022-06-25,476,331905,0.0014341453126647686
2022-06-26,423,320998,0.0013177652197209951
2022-06-27,1796,515688,0.0034827259893579062
2022-06-28,1272,526546,0.002415743353857023
2022-06-29,1020,529318,0.0019270079611877927
2022-06-30,733,532875,0.001375557119399484
2022-07-01,533,497822,0.0010706638115631692
2022-07-02,317,331445,0.0009564181085851348
2022-07-03,203,316162,0.0006420758977992295
2022-07-04,733,464162,0.001579190024172595
2022-07-05,272,507684,0.0005357663428431859
