date,count,total_count,ratio
2022-05-20,6,5529,0.0010851871947911015
2022-05-21,5,4183,0.0011953143676786994
2022-05-22,7,3921,0.0017852588625350675
2022-05-23,9,5659,0.001590386994168581
2022-05-24,0,6168,0
2022-05-25,5,6297,0.0007940289026520565
2022-05-26,2,6423,0.00031138097462245055
2022-05-27,2,6769,0.0002954646181119811
2022-05-28,6,4740,0.0012658227848101266
2022-05-29,4,4630,0.0008639308855291577
2022-05-30,4,7024,0.0005694760820045558
2022-05-31,3,7109,0.0004220002813335209
2022-06-01,4,7145,0.0005598320503848845
2022-06-02,6,7082,0.0008472182999152782
2022-06-03,4,6993,0.000572000572000572
2022-06-04,3,4656,0.0006443298969072165
2022-06-05,3,4430,0.0006772009029345372
2022-06-06,3,6638,0.00045194335643266047
2022-06-07,7,6954,0.0010066148979004888
2022-06-08,4,6593,0.0006067040800849386
2022-06-09,3,5943,0.0005047955577990914
2022-06-10,4,6808,0.0005875440658049354
2022-06-11,4,4682,0.0008543357539513029
2022-06-12,5,4423,0.0011304544426859599
2022-06-13,4,5837,0.0006852835360630461
2022-06-14,3,6951,0.00043159257660768235
2022-06-15,5,7000,0.0007142857142857143
2022-06-16,3,7010,0.00042796005706134097
2022-06-17,7,6754,0.001036422860527095
2022-06-18,6,4490,0.0013363028953229399
2022-06-19,3,4470,0.0006711409395973154
2022-06-20,1,6759,0.00014795088030773783
2022-06-21,3,6946,0.0004319032536711777
2022-06-22,3,6949,0.00043171679378327816
2022-06-23,5,7114,0.0007028394714647174
2022-06-24,7,6756,0.0010361160449970396
2022-06-25,2,4541,0.0004404316229905307
2022-06-26,4,4523,0.0008843687817820031
2022-06-27,5,6611,0.0007563152321887763
2022-06-28,3,6870,0.0004366812227074236
2022-06-29,5,6741,0.0007417297136923305
2022-06-30,5,6898,0.0007248477819657872
2022-07-01,3,6838,0.0004387247733255338
2022-07-02,4,4454,0.000898069151324652
2022-07-03,6,4325,0.0013872832369942196
2022-07-04,8,6579,0.0012159902720778233
2022-07-05,2,6974,0.00028677946659019213
2022-07-06,2,6900,0.0002898550724637681
2022-07-07,5,6925,0.0007220216606498195
2022-07-08,4,6645,0.0006019563581640331
2022-07-09,2,4679,0.00042744176106005556
2022-07-10,2,4353,0.00045945325063174823
2022-07-11,1,6574,0.000152114390021296
2022-07-12,2,6705,0.0002982848620432513
2022-07-13,1,6802,0.00014701558365186709
2022-07-14,6,6723,0.000892458723784025
2022-07-15,3,6443,0.0004656216048424647
2022-07-16,0,4275,0
