date,count,total_count,ratio
2019-05-20,0,9108,0
2019-05-21,0,8875,0
2019-05-22,1,8940,0.00011185682326621924
2019-05-23,1,8785,0.00011383039271485487
2019-05-24,2,8794,0.00022742779167614282
2019-05-25,0,4455,0
2019-05-26,0,4136,0
2019-05-27,0,8308,0
2019-05-28,0,8912,0
2019-05-29,0,8704,0
2019-05-30,0,8798,0
2019-05-31,1,8316,0.00012025012025012025
2019-06-01,0,4698,0
2019-06-02,0,4053,0
2019-06-03,1,8495,0.00011771630370806356
2019-06-04,0,8697,0
2019-06-05,0,8853,0
2019-06-06,0,8980,0
2019-06-07,0,8447,0
2019-06-08,0,4633,0
2019-06-09,0,4463,0
2019-06-10,0,8752,0
2019-06-11,1,8568,0.00011671335200746966
2019-06-12,0,7905,0
2019-06-13,0,8465,0
2019-06-14,0,8116,0
2019-06-15,0,4615,0
2019-06-16,0,4172,0
2019-06-17,0,5142,0
2019-06-18,0,8069,0
2019-06-19,0,8338,0
2019-06-20,0,8468,0
2019-06-21,0,7886,0
2019-06-22,0,3985,0
2019-06-23,1,3528,0.0002834467120181406
2019-06-24,0,7244,0
2019-06-25,0,7778,0
2019-06-26,0,8338,0
2019-06-27,0,8134,0
2019-06-28,0,5450,0
2019-06-29,0,3951,0
2019-06-30,0,4153,0
2019-07-01,0,7641,0
2019-07-02,0,8011,0
2019-07-03,0,8301,0
2019-07-04,0,8196,0
2019-07-05,0,8032,0
2019-07-06,0,4240,0
2019-07-07,0,4107,0
2019-07-08,2,8361,0.00023920583662241358
2019-07-09,0,8365,0
2019-07-10,0,8328,0
2019-07-11,0,8439,0
2019-07-12,0,7839,0
2019-07-13,1,4319,0.00023153507756425097
2019-07-14,0,4061,0
2019-07-15,0,7906,0
2019-07-16,0,8106,0
2019-07-17,0,8264,0
2019-07-18,0,8442,0
2019-07-19,0,7999,0
2019-07-20,0,4200,0
2019-07-21,0,6074,0
2019-07-22,0,8377,0
2019-07-23,0,8401,0
2019-07-24,0,8376,0
2019-07-25,0,8326,0
2019-07-26,1,7653,0.00013066771200836272
2019-07-27,0,4352,0
2019-07-28,0,4096,0
2019-07-29,0,7897,0
2019-07-30,0,7915,0
2019-07-31,0,8111,0
2019-08-01,0,8214,0
2019-08-02,0,7653,0
2019-08-03,0,4330,0
2019-08-04,1,4041,0.00024746349913387774
2019-08-05,0,7657,0
2019-08-06,0,7762,0
2019-08-07,0,7908,0
2019-08-08,0,8082,0
2019-08-09,0,7876,0
2019-08-10,0,4214,0
2019-08-11,0,3958,0
2019-08-12,0,7583,0
2019-08-13,0,7889,0
2019-08-14,0,7812,0
2019-08-15,0,7219,0
2019-08-16,0,7794,0
2019-08-17,0,4363,0
2019-08-18,1,3858,0.0002592016588906169
2019-08-19,1,7610,0.00013140604467805518
2019-08-20,0,7708,0
2019-08-21,0,8035,0
