country,year,IS_Justice,IS_Electoral,IS_Coalition,IS_agg,zone,IS_AC_Romania,CPI_Romania
Romania,2005,62.55,63.13,43.33,56.33,HIGH,68.01,30
Romania,2006,62.55,63.13,43.33,56.33,HIGH,69.38,31
Romania,2007,60.13,61.35,43.33,54.93,MODERATE,67.97,37
Romania,2008,60.13,61.35,43.33,54.93,MODERATE,66.16,38
Romania,2009,56.83,61.35,43.33,53.84,MODERATE,65.6,38
Romania,2010,56.83,61.35,43.33,53.84,MODERATE,68.18,37
Romania,2011,60.13,61.35,45.15,55.54,HIGH,68.28,36
Romania,2012,60.13,61.35,47.58,56.35,HIGH,44.9,44
Romania,2013,56.83,58.93,45.15,53.64,MODERATE,46.59,43
Romania,2014,56.83,58.93,43.33,53.03,MODERATE,48.9,43
Romania,2015,54.44,58.93,43.33,52.23,MODERATE,42.99,46
Romania,2016,54.44,58.93,43.33,52.23,MODERATE,33.85,48
Romania,2017,56.83,58.93,43.33,53.03,MODERATE,43.85,48
Romania,2018,60.13,58.93,43.33,54.13,MODERATE,46.2,47
Romania,2019,60.13,58.93,45.15,54.74,MODERATE,42.84,44
Romania,2020,56.83,58.93,47.58,54.45,MODERATE,52.21,45
Romania,2021,56.83,58.93,47.58,54.45,MODERATE,43.9,45
Romania,2022,56.83,58.93,47.58,54.45,MODERATE,42.85,46
Romania,2023,54.44,58.93,47.58,53.65,MODERATE,45.11,46
Romania,2024,50.74,74.35,47.58,57.56,HIGH,45.74,46
Hungary,2005,54.44,57.91,37.61,49.99,MODERATE,,
Hungary,2006,54.44,57.91,37.61,49.99,MODERATE,,
Hungary,2007,54.44,57.91,37.61,49.99,MODERATE,,
Hungary,2008,54.44,57.91,37.61,49.99,MODERATE,,
Hungary,2009,54.44,58.93,39.14,50.84,MODERATE,,
Hungary,2010,56.83,58.93,40.62,52.13,MODERATE,,
Hungary,2011,62.55,75.19,43.33,60.36,HIGH,,
Hungary,2012,66.13,63.13,47.58,58.94,HIGH,,
Hungary,2013,68.78,65.36,52.48,62.21,HIGH,,
Hungary,2014,70.18,75.96,55.38,67.17,HIGH,,
Hungary,2015,70.71,68.25,57.42,65.46,HIGH,,
Hungary,2016,70.6,68.25,59.21,66.02,HIGH,,
Hungary,2017,70.6,69.88,60.67,67.05,HIGH,,
Hungary,2018,70.6,69.88,61.83,67.44,HIGH,,
Hungary,2019,70.6,69.88,62.93,67.8,HIGH,,
Hungary,2020,70.6,69.88,64.64,68.38,HIGH,,
Hungary,2021,69.94,70.62,64.64,68.4,HIGH,,
Hungary,2022,69.94,70.62,64.64,68.4,HIGH,,
Hungary,2023,69.94,70.62,64.64,68.4,HIGH,,
Hungary,2024,69.94,70.7,64.64,68.43,HIGH,,
Poland,2005,54.44,50.93,34.37,46.58,MODERATE,,
Poland,2006,54.44,50.93,34.37,46.58,MODERATE,,
Poland,2007,50.74,46.04,34.37,43.72,MODERATE,,
Poland,2008,50.74,46.04,34.37,43.72,MODERATE,,
Poland,2009,50.74,46.04,34.37,43.72,MODERATE,,
Poland,2010,50.74,46.04,34.37,43.72,MODERATE,,
Poland,2011,50.74,46.04,34.37,43.72,MODERATE,,
Poland,2012,46.56,46.04,34.37,42.33,MODERATE,,
Poland,2013,46.56,46.04,34.37,42.33,MODERATE,,
Poland,2014,46.56,46.04,34.37,42.33,MODERATE,,
Poland,2015,46.56,71.64,36.03,51.41,MODERATE,,
Poland,2016,54.44,50.93,37.61,47.66,MODERATE,,
Poland,2017,60.13,55.21,40.62,51.99,MODERATE,,
Poland,2018,62.55,57.91,43.33,54.6,MODERATE,,
Poland,2019,64.15,75.67,45.15,61.66,HIGH,,
Poland,2020,66.13,58.93,47.58,57.55,HIGH,,
Poland,2021,66.13,58.93,47.58,57.55,HIGH,,
Poland,2022,66.13,58.93,47.58,57.55,HIGH,,
Poland,2023,64.15,58.93,45.15,56.08,HIGH,,
Poland,2024,62.55,57.91,43.33,54.6,MODERATE,,
