date,count,total_count,ratio
2022-05-20,73,17822,0.004096061048142745
2022-05-21,58,9355,0.006199893105291288
2022-05-22,63,9670,0.006514994829369183
2022-05-23,121,17860,0.0067749160134378495
2022-05-24,87,19402,0.004484073806824039
2022-05-25,85,19432,0.004374228077398106
2022-05-26,46,19240,0.002390852390852391
2022-05-27,52,17221,0.003019569130712502
2022-05-28,38,9136,0.004159369527145359
2022-05-29,43,9031,0.004761377477577234
2022-05-30,95,11980,0.007929883138564273
2022-05-31,110,17765,0.006191950464396285
2022-06-01,93,19800,0.004696969696969697
2022-06-02,83,18810,0.004412546517809676
2022-06-03,93,16966,0.005481551337970058
2022-06-04,66,9321,0.007080785323463148
2022-06-05,42,9172,0.004579153946794592
2022-06-06,83,17084,0.0048583469913369235
2022-06-07,58,18623,0.003114428394995436
2022-06-08,60,19067,0.0031467981328997746
2022-06-09,51,19579,0.0026048317074416467
2022-06-10,71,18076,0.003927860146050011
2022-06-11,24,9705,0.002472952086553323
2022-06-12,48,9412,0.005099872503187421
2022-06-13,55,17519,0.0031394485986643073
2022-06-14,53,19093,0.0027758864505316085
2022-06-15,88,19262,0.004568580625064895
2022-06-16,77,19349,0.003979533826037522
2022-06-17,67,17456,0.0038382218148487624
2022-06-18,43,9221,0.004663268625962477
2022-06-19,43,8860,0.0048532731376975165
2022-06-20,36,13880,0.0025936599423631124
2022-06-21,54,18281,0.002953886548875882
2022-06-22,38,18165,0.0020919350399119185
2022-06-23,57,19212,0.002966895690193629
2022-06-24,48,18269,0.0026274016092834858
2022-06-25,28,9348,0.002995293110825845
2022-06-26,32,9111,0.003512237954121392
2022-06-27,117,16887,0.006928406466512702
2022-06-28,101,19141,0.005276631314978319
2022-06-29,77,19861,0.003876944766124566
2022-06-30,56,19318,0.0028988508127135316
2022-07-01,36,17165,0.0020972909991261285
2022-07-02,31,9058,0.0034223890483550453
2022-07-03,20,8633,0.0023166917641607786
2022-07-04,68,11660,0.005831903945111492
2022-07-05,19,16811,0.0011302123609541373
2022-07-06,30,18388,0.001631498803567544
2022-07-07,48,18753,0.0025595904655255157
2022-07-08,42,17511,0.0023984923762206613
2022-07-09,17,9077,0.001872865484190812
2022-07-10,23,8874,0.0025918413342348435
2022-07-11,29,16614,0.0017455158300228723
2022-07-12,24,19432,0.0012350761630300535
2022-07-13,39,18898,0.0020637104455497935
2022-07-14,55,18831,0.0029207158409006425
2022-07-15,23,17312,0.0013285582255083178
2022-07-16,6,8921,0.0006725703396480216
2022-07-17,32,8896,0.0035971223021582736
2022-07-18,43,16794,0.00256043825175658
2022-07-19,27,18611,0.0014507549298801783
2022-07-20,41,18594,0.0022050123695815855
2022-07-21,23,19159,0.0012004801920768306
2022-07-22,40,17342,0.002306539038173221
2022-07-23,47,8968,0.00524085637823372
2022-07-24,29,8858,0.0032738767216075864
2022-07-25,46,17214,0.00267224352271407
2022-07-26,35,18808,0.0018609102509570396
2022-07-27,49,19508,0.0025117900348574944
2022-07-28,33,19335,0.0017067494181536075
2022-07-29,41,17616,0.0023274296094459583
2022-07-30,33,9237,0.0035725885027606367
2022-07-31,43,9147,0.00470099486170329
2022-08-01,22,17174,0.0012810061721206475
2022-08-02,27,19494,0.0013850415512465374
2022-08-03,47,19284,0.0024372536818087535
2022-08-04,25,19186,0.0013030334618993017
2022-08-05,20,17254,0.001159151501101194
2022-08-06,9,9096,0.0009894459102902375
2022-08-07,17,8699,0.0019542476146683528
2022-08-08,37,16945,0.0021835349660666863
2022-08-09,68,18438,0.003688035578696171
2022-08-10,49,18330,0.002673213311511184
2022-08-11,47,17956,0.002617509467587436
2022-08-12,17,16593,0.0010245284155969384
2022-08-13,12,8787,0.0013656538067599864
2022-08-14,12,8617,0.0013925960311013113
2022-08-15,22,15929,0.0013811287588674744
2022-08-16,30,17735,0.0016915703411333521
2022-08-17,29,18443,0.0015724122973485876
2022-08-18,48,18170,0.0026417171161254816
2022-08-19,50,16399,0.0030489664003902676
2022-08-20,26,8877,0.002928917427058691
2022-08-21,56,9245,0.006057328285559762
2022-08-22,47,16698,0.0028147083483051863
2022-08-23,75,18549,0.004043344654698367
2022-08-24,81,19136,0.004232859531772575
2022-08-25,58,19088,0.003038558256496228
2022-08-26,36,17296,0.0020814061054579094
2022-08-27,32,9497,0.003369485100558071
2022-08-28,19,9132,0.0020805957074025404
